gender,competition_level,weekly_distance,monthly_distance,long_run_distance,target_time_seconds,distance_km,target_pace,vdot
0,1.0,82.5,357.0,24.0,0.0,0.0,0.0,57.4
0,1.0,80.0,346.0,24.0,0.0,0.0,0.0,57.0
0,1.0,77.5,335.5,24.0,0.0,0.0,0.0,56.6
0,1.0,75.0,325.0,24.0,0.0,0.0,0.0,56.2
0,1.0,75.0,325.0,24.0,0.0,0.0,0.0,55.8
0,1.0,72.5,314.0,22.0,0.0,0.0,0.0,55.4
0,1.0,70.0,303.0,22.0,0.0,0.0,0.0,55.0
0,1.0,70.0,303.0,22.0,0.0,0.0,0.0,54.6
0,1.0,67.5,292.0,22.0,0.0,0.0,0.0,54.2
0,1.0,65.0,281.0,21.5,0.0,0.0,0.0,53.8
0,1.0,65.0,281.0,21.5,0.0,0.0,0.0,53.4
0,1.0,65.0,281.0,21.5,0.0,0.0,0.0,53.1
0,1.0,60.0,260.0,21.5,0.0,0.0,0.0,52.7
0,1.0,60.0,260.0,21.5,0.0,0.0,0.0,52.3
0,1.0,60.0,260.0,20.0,0.0,0.0,0.0,51.9
0,1.0,57.5,249.0,20.0,0.0,0.0,0.0,51.6
0,1.0,55.0,238.0,20.0,0.0,0.0,0.0,51.2
0,1.0,55.0,238.0,20.0,0.0,0.0,0.0,50.8
0,1.0,52.5,227.0,20.0,0.0,0.0,0.0,50.5
0,1.0,52.5,227.0,18.5,0.0,0.0,0.0,50.1
0,1.0,52.5,227.0,18.5,0.0,0.0,0.0,49.8
0,1.0,50.0,216.0,18.5,0.0,0.0,0.0,49.4
0,1.0,47.5,205.5,18.5,0.0,0.0,0.0,49.1
0,1.0,47.5,205.5,18.5,0.0,0.0,0.0,48.7
0,1.0,47.5,205.5,18.5,0.0,0.0,0.0,48.4
0,1.0,47.5,205.5,18.5,0.0,0.0,0.0,48.1
0,1.0,42.5,184.0,17.5,0.0,0.0,0.0,47.7
0,1.0,42.5,184.0,17.5,0.0,0.0,0.0,47.4
0,1.0,42.5,184.0,17.5,0.0,0.0,0.0,47.1
0,1.0,42.5,184.0,17.5,0.0,0.0,0.0,46.8
0,1.0,42.5,184.0,17.5,0.0,0.0,0.0,46.5
0,1.0,40.0,173.0,17.5,0.0,0.0,0.0,46.2
0,1.0,40.0,173.0,17.5,0.0,0.0,0.0,45.9
0,1.0,40.0,173.0,17.5,0.0,0.0,0.0,45.6
0,1.0,40.0,173.0,17.5,0.0,0.0,0.0,45.3
0,1.0,37.5,162.0,15.0,0.0,0.0,0.0,45.0
0,1.0,37.5,162.0,15.0,0.0,0.0,0.0,44.7
0,1.0,37.5,162.0,15.0,0.0,0.0,0.0,44.4
0,1.0,35.0,151.5,15.0,0.0,0.0,0.0,44.1
0,1.0,35.0,151.5,15.0,0.0,0.0,0.0,43.8
0,1.0,35.0,151.5,15.0,0.0,0.0,0.0,43.5
0,1.0,35.0,151.5,15.0,0.0,0.0,0.0,43.2
0,1.0,35.0,151.5,15.0,0.0,0.0,0.0,42.9
0,1.0,35.0,151.5,15.0,0.0,0.0,0.0,42.6
0,1.0,35.0,151.5,15.0,0.0,0.0,0.0,42.4
0,1.0,32.5,140.5,15.0,0.0,0.0,0.0,42.1
0,1.0,32.5,140.5,15.0,0.0,0.0,0.0,41.8
0,1.0,32.5,140.5,15.0,0.0,0.0,0.0,41.5
0,1.0,32.5,140.5,15.0,0.0,0.0,0.0,41.2
0,1.0,32.5,140.5,15.0,0.0,0.0,0.0,40.9
0,1.0,32.5,140.5,15.0,0.0,0.0,0.0,40.7
0,1.0,27.5,118.5,14.0,0.0,0.0,0.0,40.4
0,1.0,27.5,118.5,14.0,0.0,0.0,0.0,40.1
0,1.0,27.5,118.5,14.0,0.0,0.0,0.0,39.9
0,1.0,27.5,118.5,14.0,0.0,0.0,0.0,39.6
0,1.0,27.5,118.5,14.0,0.0,0.0,0.0,39.3
0,1.0,27.5,118.5,14.0,0.0,0.0,0.0,39.1
0,1.0,27.5,118.5,14.0,0.0,0.0,0.0,38.8
0,1.0,27.5,118.5,14.0,0.0,0.0,0.0,38.6
0,1.0,27.5,118.5,14.0,0.0,0.0,0.0,38.3
0,1.0,27.5,118.5,14.0,0.0,0.0,0.0,38.1
0,1.0,25.0,108.0,12.5,0.0,0.0,0.0,37.8
0,1.0,25.0,108.0,12.5,0.0,0.0,0.0,37.6
0,1.0,25.0,108.0,12.5,0.0,0.0,0.0,37.4
0,1.0,25.0,108.0,12.5,0.0,0.0,0.0,37.1
0,1.0,25.0,108.0,12.5,0.0,0.0,0.0,36.9
0,1.0,25.0,108.0,12.5,0.0,0.0,0.0,36.7
0,1.0,25.0,108.0,12.5,0.0,0.0,0.0,36.4
0,1.0,25.0,108.0,12.5,0.0,0.0,0.0,36.2
0,1.0,25.0,108.0,12.5,0.0,0.0,0.0,36.0
0,1.0,20.0,86.5,12.0,0.0,0.0,0.0,35.8
0,1.0,20.0,86.5,12.0,0.0,0.0,0.0,35.6
0,1.0,20.0,86.5,12.0,0.0,0.0,0.0,35.4
0,1.0,20.0,86.5,12.0,0.0,0.0,0.0,35.1
0,1.0,20.0,86.5,12.0,0.0,0.0,0.0,34.9
0,1.0,20.0,86.5,12.0,0.0,0.0,0.0,34.7
0,1.0,20.0,86.5,12.0,0.0,0.0,0.0,34.5
0,1.0,20.0,86.5,12.0,0.0,0.0,0.0,34.3
0,1.0,20.0,86.5,12.0,0.0,0.0,0.0,34.1
0,1.0,20.0,86.5,12.0,0.0,0.0,0.0,33.9
