age,gender,competition_level,vo2max,training_frequency,running_history,strength_frequency,resting_hr,weekly_distance,monthly_distance,tempo_pace,tempo_distance,long_run_distance,long_run_pace,interval_200m_time,interval_200m_rest,interval_400m_time,interval_400m_rest,interval_800m_time,interval_800m_rest,target_time_seconds,distance_km,target_pace,vdot
30.0,0,2,52.5,5,4,1,55,54,216,263,4,12,331,32.4,180,69.4,90,146.9,150,136,0.8,170.0,55.3
31.0,0,2,51.5,5,4,1,55,52,208,268,4,11,337,32.9,180,70.4,90,149.0,150,138,0.8,172.5,54.2
32.0,0,2,50.5,5,4,1,56,50,200,273,4,11,343,33.4,180,71.4,90,151.2,150,140,0.8,175.0,53.2
25.0,1,2,49.6,4,3,1,57,48,192,278,3,11,349,33.8,150,72.4,90,153.4,155,142,0.8,177.5,52.2
26.0,1,2,48.6,4,3,1,57,46,184,283,3,10,355,34.3,150,73.4,90,155.5,155,144,0.8,180.0,51.2
27.0,1,2,47.8,4,3,1,58,45,180,288,3,10,362,34.8,150,74.5,90,157.7,160,146,0.8,182.5,50.3
28.0,1,2,46.9,4,3,1,58,43,172,294,3,10,368,35.3,150,75.5,90,159.8,160,148,0.8,185.0,49.4
29.0,1,2,46.1,4,3,1,59,42,168,299,3,10,375,35.7,150,76.5,90,162.0,160,150,0.8,187.5,48.5
30.0,0,2,45.3,4,2,1,60,40,160,304,3,9,381,36.2,150,77.5,90,164.2,165,152,0.8,190.0,47.7
31.0,0,2,44.6,4,2,1,60,39,156,310,3,9,388,36.7,150,78.5,90,166.3,165,154,0.8,192.5,46.9
32.0,0,2,43.8,4,2,1,61,38,152,315,3,9,395,37.2,150,79.6,90,168.5,170,156,0.8,195.0,46.1
33.0,0,2,43.0,4,2,1,61,37,148,321,3,9,402,37.7,150,80.6,90,170.6,170,158,0.8,197.5,45.3
34.0,0,1,42.4,3,2,1,62,36,144,326,3,8,409,38.1,150,81.6,90,172.8,175,160,0.8,200.0,44.6
35.0,0,1,41.7,3,2,1,62,35,140,332,3,8,416,38.6,120,82.6,90,175.0,175,162,0.8,202.5,43.9
36.0,0,1,41.0,3,2,1,63,34,136,338,3,8,423,39.1,120,83.6,90,177.1,180,164,0.8,205.0,43.2
37.0,0,1,40.4,3,1,1,63,33,132,343,3,8,431,39.6,120,84.7,90,179.3,180,166,0.8,207.5,42.5
38.0,0,1,39.8,3,1,1,64,32,128,349,3,8,438,40.1,120,85.7,90,181.4,180,168,0.8,210.0,41.9
39.0,0,1,39.2,3,1,1,64,31,124,355,3,7,445,40.5,120,86.7,90,183.6,185,170,0.8,212.5,41.3
40.0,1,1,38.7,3,1,1,65,30,120,361,3,7,453,41.0,120,87.7,90,185.8,185,172,0.8,215.0,40.7
41.0,1,1,38.1,3,1,1,65,29,116,367,3,7,460,41.5,120,88.7,90,187.9,190,174,0.8,217.5,40.1
42.0,1,1,37.5,3,1,1,66,29,116,373,3,7,468,42.0,120,89.8,90,190.1,190,176,0.8,220.0,39.5
43.0,1,1,37.1,3,1,0,66,28,112,379,3,7,475,42.5,120,90.8,90,192.2,190,178,0.8,222.5,39.0
44.0,1,1,36.5,3,1,0,67,28,112,385,3,6,483,42.9,120,91.8,90,194.4,195,180,0.8,225.0,38.4
45.0,0,1,36.0,3,1,0,67,27,108,391,3,6,490,43.4,120,92.8,90,196.6,195,182,0.8,227.5,37.9
46.0,0,1,35.5,3,1,0,68,27,108,397,3,6,498,43.9,120,93.8,90,198.7,200,184,0.8,230.0,37.4
47.0,0,1,35.1,3,1,0,68,26,104,403,3,6,506,44.4,120,94.9,90,200.9,200,186,0.8,232.5,36.9
48.0,0,1,34.6,3,1,0,69,26,104,410,3,6,514,44.9,120,95.9,90,203.0,200,188,0.8,235.0,36.4
49.0,0,1,34.1,3,1,0,69,25,100,416,3,6,522,45.3,120,96.9,90,205.2,205,190,0.8,237.5,35.9
45.0,1,1,33.7,2,1,0,70,25,100,422,3,6,530,45.8,120,97.9,90,207.4,205,192,0.8,240.0,35.5
46.0,1,1,33.3,2,1,0,70,24,96,429,3,5,538,46.3,120,99.0,90,209.5,210,194,0.8,242.5,35.0
47.0,1,1,32.9,2,1,0,71,24,96,435,3,5,546,46.8,120,100.0,90,211.7,210,196,0.8,245.0,34.6
48.0,1,1,32.5,2,1,0,71,23,92,442,3,5,554,47.3,120,101.0,90,213.8,210,198,0.8,247.5,34.2
49.0,1,1,32.1,2,1,0,72,23,92,448,3,5,562,47.7,120,102.0,90,216.0,215,200,0.8,250.0,33.8
50.0,0,1,31.7,2,1,0,72,22,88,455,3,5,571,48.2,120,103.0,90,218.2,215,202,0.8,252.5,33.4
51.0,0,1,31.4,2,1,0,73,22,88,462,3,5,579,48.7,120,104.0,90,220.3,220,204,0.8,255.0,33.0
52.0,0,1,31.0,2,1,0,73,21,84,468,3,5,587,49.2,120,105.1,90,222.5,220,206,0.8,257.5,32.6
53.0,0,1,30.6,2,1,0,74,21,84,475,3,5,596,49.7,120,106.1,90,224.6,225,208,0.8,260.0,32.2
54.0,0,1,30.3,2,1,0,74,20,80,482,3,5,605,50.1,120,107.1,90,226.8,225,210,0.8,262.5,31.9
50.0,1,1,29.9,2,1,0,75,20,80,489,3,5,613,50.6,120,108.1,90,229.0,230,212,0.8,265.0,31.5
51.0,1,1,29.6,2,1,0,75,20,80,496,3,5,622,51.1,120,109.1,90,231.1,230,214,0.8,267.5,31.2
52.0,1,1,29.3,2,1,0,75,19,76,503,3,5,631,51.6,120,110.2,90,233.3,235,216,0.8,270.0,30.8
53.0,1,1,29.0,2,1,0,76,19,76,510,3,5,640,52.1,120,111.2,90,235.4,235,218,0.8,272.5,30.5
54.0,1,1,28.7,2,1,0,76,18,72,517,3,5,649,52.5,120,112.2,90,237.6,240,220,0.8,275.0,30.2
55.0,0,1,28.3,2,1,0,77,18,72,524,3,5,658,53.0,120,113.2,90,239.8,240,222,0.8,277.5,29.8
56.0,0,1,28.0,2,1,0,77,18,72,532,3,5,667,53.5,120,114.2,90,241.9,240,224,0.8,280.0,29.5
57.0,0,1,27.7,2,1,0,78,17,68,539,3,5,676,54.0,120,115.3,90,244.1,245,226,0.8,282.5,29.2
58.0,0,1,27.5,2,1,0,78,17,68,547,3,5,685,54.5,120,116.3,90,246.2,245,228,0.8,285.0,28.9
59.0,0,1,27.2,2,1,0,79,16,64,554,3,5,695,54.9,120,117.3,90,248.4,250,230,0.8,287.5,28.6
55.0,1,1,26.9,2,1,0,79,16,64,562,3,5,705,55.4,120,118.3,90,250.6,250,232,0.8,290.0,28.3
56.0,1,1,26.6,2,1,0,80,16,64,570,3,5,715,55.9,120,119.3,90,252.7,255,234,0.8,292.5,28.0
57.0,1,1,26.3,2,1,0,80,15,60,578,3,5,725,56.4,120,120.4,90,254.9,255,236,0.8,295.0,27.7
58.0,1,1,26.0,2,1,0,81,15,60,586,3,5,735,56.9,120,121.4,90,257.0,260,238,0.8,297.5,27.4
59.0,1,1,25.7,2,1,0,81,15,60,594,3,5,745,57.4,120,122.4,90,259.2,260,240,0.8,300.0,27.1
