age,gender,competition_level,vo2max,training_frequency,running_history,strength_frequency,resting_hr,weekly_distance,monthly_distance,tempo_pace,long_run_distance,long_run_pace,target_time_seconds,distance_km,target_pace,vdot
24.5,1,2.0,61.0,6,5,2,49,91,394.0,224,15,291,988,5.0,197.6,61.0
24.5,1,2.0,60.2,6,4,2,49,88,381.0,226,15,294,996,5.0,199.2,60.2
24.5,1,2.0,59.5,6,4,2,50,85,368.1,228,14,298,1004,5.0,200.8,59.5
24.5,1,2.0,58.7,6,4,2,50,82,355.1,231,14,301,1012,5.0,202.4,58.7
24.5,1,2.0,58.0,5,4,2,51,79,342.1,233,13,305,1020,5.0,204.0,58.0
24.5,1,2.0,57.3,5,4,2,51,77,333.4,235,13,308,1028,5.0,205.6,57.3
24.5,1,2.0,56.6,5,3,2,52,75,324.8,237,13,312,1036,5.0,207.2,56.6
24.5,1,2.0,55.9,5,3,2,52,73,316.1,240,12,315,1044,5.0,208.8,55.9
24.5,1,2.0,55.2,5,3,2,53,71,307.4,242,12,319,1052,5.0,210.4,55.2
24.5,1,2.0,54.5,5,3,1,53,69,298.8,244,12,322,1060,5.0,212.0,54.5
24.5,1,2.0,53.8,5,3,1,54,67,290.1,247,11,326,1068,5.0,213.6,53.8
24.5,1,2.0,53.2,5,3,1,54,65,281.5,249,11,330,1076,5.0,215.2,53.2
24.5,1,2.0,52.5,5,3,1,55,63,272.8,251,11,333,1084,5.0,216.8,52.5
24.5,1,2.0,51.9,5,3,1,55,61,264.1,254,10,337,1092,5.0,218.4,51.9
24.5,1,2.0,51.2,5,2,1,56,59,255.5,256,10,341,1100,5.0,220.0,51.2
24.5,1,2.0,50.6,4,2,1,56,58,251.1,258,10,344,1108,5.0,221.6,50.6
24.5,1,2.0,50.0,4,2,1,57,57,246.8,261,9,348,1116,5.0,223.2,50.0
24.5,1,2.0,49.4,4,2,1,57,56,242.5,263,9,352,1124,5.0,224.8,49.4
24.5,1,2.0,48.8,4,2,1,58,55,238.2,265,9,355,1132,5.0,226.4,48.8
24.5,1,2.0,48.2,4,2,1,58,54,233.8,268,9,359,1140,5.0,228.0,48.2
24.5,1,2.0,47.6,4,2,1,58,53,229.5,270,9,363,1148,5.0,229.6,47.6
24.5,1,2.0,47.1,4,2,1,59,52,225.2,272,8,366,1156,5.0,231.2,47.1
24.5,1,2.0,46.5,4,2,1,59,51,220.8,275,8,370,1164,5.0,232.8,46.5
24.5,1,2.0,45.9,4,2,1,59,50,216.5,277,8,374,1172,5.0,234.4,45.9
24.5,1,1.0,45.4,4,1,1,60,49,212.2,280,8,378,1180,5.0,236.0,45.4
24.5,1,1.0,44.8,4,1,1,60,48,207.8,282,8,382,1188,5.0,237.6,44.8
24.5,1,1.0,44.3,4,1,1,60,47,203.5,285,8,386,1196,5.0,239.2,44.3
24.5,1,1.0,43.8,4,1,1,61,46,199.2,287,7,390,1204,5.0,240.8,43.8
24.5,1,1.0,43.3,4,1,1,61,45,194.9,290,7,394,1212,5.0,242.4,43.3
24.5,1,1.0,42.8,4,1,1,61,44,190.5,293,7,398,1220,5.0,244.0,42.8
24.5,1,1.0,42.3,4,1,1,62,43,186.2,295,7,402,1228,5.0,245.6,42.3
24.5,1,1.0,41.8,4,1,1,62,42,181.9,298,7,406,1236,5.0,247.2,41.8
24.5,1,1.0,41.3,3,1,1,62,41,177.5,301,7,411,1244,5.0,248.8,41.3
24.5,1,1.0,40.8,3,1,1,63,40,173.2,304,6,415,1252,5.0,250.4,40.8
24.5,1,1.0,40.4,3,1,1,63,39,168.9,306,6,419,1260,5.0,252.0,40.4
24.5,1,1.0,39.9,3,1,1,63,38,164.5,309,6,423,1268,5.0,253.6,39.9
24.5,1,1.0,39.5,3,1,1,64,37,160.2,312,6,428,1276,5.0,255.2,39.5
24.5,1,1.0,39.0,3,1,1,64,37,159.1,315,6,432,1284,5.0,256.8,39.0
24.5,1,1.0,38.6,3,1,1,64,36,155.9,318,6,437,1292,5.0,258.4,38.6
24.5,1,1.0,38.2,3,1,1,65,35,151.6,321,6,441,1300,5.0,260.0,38.2
24.5,1,1.0,37.7,3,1,1,65,34,147.2,324,6,446,1308,5.0,261.6,37.7
24.5,1,1.0,37.3,3,1,1,65,33,142.9,327,5,451,1316,5.0,263.2,37.3
24.5,1,1.0,36.9,3,1,1,66,33,142.9,330,5,455,1324,5.0,264.8,36.9
24.5,1,1.0,36.5,3,1,1,66,32,138.6,333,5,460,1332,5.0,266.4,36.5
24.5,1,1.0,36.1,3,1,1,66,31,134.2,336,5,465,1340,5.0,268.0,36.1
24.5,1,1.0,35.7,3,1,1,67,30,129.9,339,5,470,1348,5.0,269.6,35.7
24.5,1,1.0,35.4,3,1,1,67,30,129.9,342,5,474,1356,5.0,271.2,35.4
24.5,1,1.0,35.0,3,1,1,67,29,125.6,345,5,479,1364,5.0,272.8,35.0
24.5,1,1.0,34.6,3,1,1,68,28,121.2,348,5,484,1372,5.0,274.4,34.6
24.5,1,1.0,34.2,3,1,1,68,28,121.2,351,5,489,1380,5.0,276.0,34.2
24.5,1,1.0,33.9,3,1,1,68,27,116.9,354,5,494,1388,5.0,277.6,33.9
24.5,1,1.0,33.5,3,1,1,69,26,112.6,357,5,499,1396,5.0,279.2,33.5
24.5,1,1.0,33.2,3,1,1,69,26,112.6,361,5,504,1404,5.0,280.8,33.2
24.5,1,1.0,32.8,3,1,1,69,25,108.2,364,5,509,1412,5.0,282.4,32.8
24.5,1,1.0,32.5,3,1,1,70,25,108.2,367,5,514,1420,5.0,284.0,32.5
24.5,1,1.0,32.1,3,1,1,70,24,103.9,371,5,520,1428,5.0,285.6,32.1
24.5,1,1.0,31.8,3,1,1,70,24,103.9,374,5,525,1436,5.0,287.2,31.8
24.5,1,1.0,31.5,3,1,1,71,23,99.6,377,5,530,1444,5.0,288.8,31.5
24.5,1,1.0,31.1,3,1,1,71,23,99.6,381,5,536,1452,5.0,290.4,31.1
24.5,1,1.0,30.8,3,1,1,71,22,95.3,384,5,541,1460,5.0,292.0,30.8
24.5,1,1.0,30.5,3,1,1,72,22,95.3,388,5,547,1468,5.0,293.6,30.5
24.5,1,1.0,30.2,3,1,1,72,21,90.9,391,5,552,1476,5.0,295.2,30.2
24.5,1,1.0,29.9,3,1,1,72,21,90.9,395,5,558,1484,5.0,296.8,29.9
24.5,1,1.0,29.6,3,1,1,73,20,86.6,398,5,563,1492,5.0,298.4,29.6
24.5,1,1.0,29.3,3,1,1,73,20,86.6,402,5,569,1500,5.0,300.0,29.3
24.5,1,1.0,29.0,3,1,1,73,19,82.3,405,5,575,1508,5.0,301.6,29.0
24.5,1,1.0,28.7,3,1,1,74,19,82.3,409,5,581,1516,5.0,303.2,28.7
24.5,1,1.0,28.4,3,1,1,74,18,77.9,413,5,587,1524,5.0,304.8,28.4
24.5,1,1.0,28.1,3,1,1,74,18,77.9,416,5,593,1532,5.0,306.4,28.1
24.5,1,1.0,27.8,3,1,1,75,17,73.6,420,5,599,1540,5.0,308.0,27.8
24.5,1,1.0,27.5,3,1,1,75,17,73.6,424,5,605,1548,5.0,309.6,27.5
24.5,1,1.0,27.2,3,1,1,75,16,69.3,428,5,611,1556,5.0,311.2,27.2
24.5,1,1.0,27.1,3,1,1,75,16,69.3,429,5,614,1560,5.0,312.0,27.1
