TargetTime_s,VDOT,Weekly_Mileage_km,Monthly_Mileage_km,Tempo_Run_10k_pace_s_per_km,Long_Run_km,Long_Run_pace_s_per_km,Interval_200m_avg_s,Interval_200m_rest_s,Interval_400m_avg_s,Interval_400m_rest_s,Interval_800m_avg_s,Interval_800m_rest_s,Interval_1000m_avg_s,Interval_1000m_rest_s,Interval_1200m_avg_s,Interval_1200m_rest_s,Interval_1600m_avg_s,Interval_1600m_rest_s,Interval_2000m_avg_s,Interval_2000m_rest_s,Age_years,Gender,Competition_Level,VO2max_ml_kg_min,Training_Frequency_days_per_week,Running_History_years,Strength_Training_freq_per_week,RestingHeartRate_bpm
1004,59.5,85,368.1,228,14,298,42.8,107.0,89.6,224.0,185.2,185.2,230.2,230.2,279.6,279.6,387.2,387.2,484.6,484.6,20-29,Male,Competitive Amateur,59.5,6,4,2,50
1012,58.7,82,355.1,231,14,301,43.2,108.0,90.4,226.0,187.0,187.0,232.6,232.6,282.4,282.4,391.4,391.4,489.8,489.8,20-29,Male,Competitive Amateur,58.7,6,4,2,50
1020,58.0,79,342.1,233,13,305,43.8,109.5,91.4,228.5,188.8,188.8,235.0,235.0,285.4,285.4,395.6,395.6,495.0,495.0,20-29,Male,Competitive Amateur,58.0,5,4,2,51
1028,57.3,77,333.4,235,13,308,44.2,110.5,92.2,230.5,190.6,190.6,237.4,237.4,288.2,288.2,399.8,399.8,500.2,500.2,20-29,Male,Competitive Amateur,57.3,5,4,2,51
1036,56.6,75,324.8,237,13,312,44.6,111.5,93.2,233.0,192.6,192.6,239.8,239.8,291.2,291.2,404.0,404.0,505.4,505.4,20-29,Male,Competitive Amateur,56.6,5,3,2,52
1044,55.9,73,316.1,240,12,315,45.0,112.5,94.0,235.0,194.4,194.4,242.2,242.2,294.0,294.0,408.2,408.2,510.6,510.6,20-29,Male,Competitive Amateur,55.9,5,3,2,52
1052,55.2,71,307.4,242,12,319,45.6,114.0,95.0,237.5,196.4,196.4,244.6,244.6,297.0,297.0,412.4,412.4,515.8,515.8,20-29,Male,Competitive Amateur,55.2,5,3,2,53
1060,54.5,69,298.8,244,12,322,46.0,115.0,96.0,240.0,198.2,198.2,247.0,247.0,299.8,299.8,416.6,416.6,521.0,521.0,20-29,Male,Competitive Amateur,54.5,5,3,1,53
1068,53.8,67,290.1,247,11,326,46.4,116.0,96.8,242.0,200.0,200.0,249.4,249.4,302.6,302.6,420.8,420.8,526.2,526.2,20-29,Male,Competitive Amateur,53.8,5,3,1,54
1076,53.2,65,281.5,249,11,330,46.8,117.0,97.8,244.5,201.8,201.8,251.8,251.8,305.6,305.6,425.0,425.0,531.4,531.4,20-29,Male,Competitive Amateur,53.2,5,3,1,54
1084,52.5,63,272.8,251,11,333,47.4,118.5,98.8,247.0,203.8,203.8,254.2,254.2,308.4,308.4,429.2,429.2,536.6,536.6,20-29,Male,Competitive Amateur,52.5,5,3,1,55
1092,51.9,61,264.1,254,10,337,47.8,119.5,99.6,249.0,205.6,205.6,256.6,256.6,311.2,311.2,433.4,433.4,541.8,541.8,20-29,Male,Competitive Amateur,51.9,5,3,1,55
1100,51.2,59,255.5,256,10,341,48.2,120.5,100.6,251.5,207.4,207.4,259.0,259.0,314.2,314.2,437.6,437.6,547.0,547.0,20-29,Male,Competitive Amateur,51.2,5,2,1,56
1108,50.6,58,251.1,258,10,344,48.8,122.0,101.4,253.5,209.4,209.4,261.4,261.4,317.0,317.0,441.8,441.8,552.2,552.2,20-29,Male,Competitive Amateur,50.6,4,2,1,56
1116,50.0,57,246.8,261,9,348,49.2,123.0,102.4,256.0,211.2,211.2,263.8,263.8,319.8,319.8,446.0,446.0,557.4,557.4,20-29,Male,Competitive Amateur,50.0,4,2,1,57
1124,49.4,56,242.5,263,9,352,49.6,124.0,103.4,258.5,213.0,213.0,266.2,266.2,322.8,322.8,450.2,450.2,562.6,562.6,20-29,Male,Competitive Amateur,49.4,4,2,1,57
1132,48.8,55,238.2,265,9,355,50.0,125.0,104.2,260.5,214.8,214.8,268.6,268.6,325.6,325.6,454.4,454.4,567.8,567.8,20-29,Male,Competitive Amateur,48.8,4,2,1,58
1140,48.2,54,233.8,268,9,359,50.6,126.5,105.2,263.0,216.8,216.8,271.0,271.0,328.6,328.6,458.6,458.6,573.0,573.0,20-29,Male,Competitive Amateur,48.2,4,2,1,58
1148,47.6,53,229.5,270,9,363,51.0,127.5,106.2,265.5,218.6,218.6,273.4,273.4,331.4,331.4,462.8,462.8,578.2,578.2,20-29,Male,Competitive Amateur,47.6,4,2,1,58
1156,47.1,52,225.2,272,8,366,51.4,128.5,107.0,267.5,220.4,220.4,275.8,275.8,334.2,334.2,467.0,467.0,583.4,583.4,20-29,Male,Competitive Amateur,47.1,4,2,1,59
1164,46.5,51,220.8,275,8,370,52.0,130.0,108.0,270.0,222.4,222.4,278.2,278.2,337.2,337.2,471.2,471.2,588.6,588.6,20-29,Male,Competitive Amateur,46.5,4,2,1,59
1172,45.9,50,216.5,277,8,374,52.4,131.0,109.0,272.5,224.2,224.2,280.6,280.6,340.0,340.0,475.4,475.4,593.8,593.8,20-29,Male,Competitive Amateur,45.9,4,2,1,59
1180,45.4,49,212.2,280,8,378,52.8,132.0,109.8,274.5,226.0,226.0,283.0,283.0,342.8,342.8,479.6,479.6,599.0,599.0,20-29,Male,Recreational,45.4,4,1,1,60
1188,44.8,48,207.8,282,8,382,53.4,133.5,110.8,277.0,228.0,228.0,285.4,285.4,345.8,345.8,483.8,483.8,604.2,604.2,20-29,Male,Recreational,44.8,4,1,1,60
1196,44.3,47,203.5,285,8,386,53.8,134.5,111.8,279.5,229.8,229.8,287.8,287.8,348.6,348.6,488.0,488.0,609.4,609.4,20-29,Male,Recreational,44.3,4,1,1,60
1204,43.8,46,199.2,287,7,390,54.4,136.0,112.8,282.0,231.8,231.8,290.2,290.2,351.6,351.6,492.2,492.2,614.6,614.6,20-29,Male,Recreational,43.8,4,1,1,61
1212,43.3,45,194.9,290,7,394,54.8,137.0,113.8,284.5,233.6,233.6,292.6,292.6,354.4,354.4,496.4,496.4,619.8,619.8,20-29,Male,Recreational,43.3,4,1,1,61
1220,42.8,44,190.5,293,7,398,55.4,138.5,114.8,287.0,235.6,235.6,295.0,295.0,357.4,357.4,500.6,500.6,625.0,625.0,20-29,Male,Recreational,42.8,4,1,1,61
1228,42.3,43,186.2,295,7,402,55.8,139.5,115.8,289.5,237.4,237.4,297.4,297.4,360.2,360.2,504.8,504.8,630.2,630.2,20-29,Male,Recreational,42.3,4,1,1,62
1236,41.8,42,181.9,298,7,406,56.4,141.0,116.8,292.0,239.4,239.4,299.8,299.8,363.2,363.2,509.0,509.0,635.4,635.4,20-29,Male,Recreational,41.8,4,1,1,62
1244,41.3,41,177.5,301,7,411,56.8,142.0,117.8,294.5,241.2,241.2,302.2,302.2,366.0,366.0,513.2,513.2,640.6,640.6,20-29,Male,Recreational,41.3,3,1,1,62
1252,40.8,40,173.2,304,6,415,57.4,143.5,118.8,297.0,243.2,243.2,304.6,304.6,369.0,369.0,517.4,517.4,645.8,645.8,20-29,Male,Recreational,40.8,3,1,1,63
1260,40.4,39,168.9,306,6,419,57.8,144.5,119.8,299.5,245.2,245.2,307.0,307.0,371.8,371.8,521.6,521.6,651.0,651.0,20-29,Male,Recreational,40.4,3,1,1,63
1268,39.9,38,164.5,309,6,423,58.4,146.0,121.0,302.5,247.2,247.2,309.4,309.4,374.8,374.8,525.8,525.8,656.2,656.2,20-29,Male,Recreational,39.9,3,1,1,63
1276,39.5,37,160.2,312,6,428,58.8,147.0,122.0,305.0,249.0,249.0,311.8,311.8,377.6,377.6,530.0,530.0,661.4,661.4,20-29,Male,Recreational,39.5,3,1,1,64
1284,39.0,37,159.1,315,6,432,59.4,148.5,123.0,307.5,251.0,251.0,314.2,314.2,380.6,380.6,534.2,534.2,666.6,666.6,20-29,Male,Recreational,39.0,3,1,1,64
1292,38.6,36,155.9,318,6,437,60.0,150.0,124.0,310.0,253.0,253.0,316.6,316.6,383.4,383.4,538.4,538.4,671.8,671.8,20-29,Male,Recreational,38.6,3,1,1,64
1300,38.2,35,151.6,321,6,441,60.4,151.0,125.0,312.5,255.0,255.0,319.0,319.0,386.2,386.2,542.6,542.6,677.0,677.0,20-29,Male,Recreational,38.2,3,1,1,65
1308,37.7,34,147.2,324,6,446,61.0,152.5,126.2,315.5,257.0,257.0,321.4,321.4,389.2,389.2,546.8,546.8,682.2,682.2,20-29,Male,Recreational,37.7,3,1,1,65
1316,37.3,33,142.9,327,5,451,61.6,154.0,127.2,318.0,259.0,259.0,323.8,323.8,392.0,392.0,551.0,551.0,687.4,687.4,20-29,Male,Recreational,37.3,3,1,1,65
1324,36.9,33,142.9,330,5,455,62.0,155.0,128.2,320.5,261.0,261.0,326.2,326.2,394.8,394.8,555.2,555.2,692.6,692.6,20-29,Male,Recreational,36.9,3,1,1,66
1332,36.5,32,138.6,333,5,460,62.6,156.5,129.4,323.5,263.0,263.0,328.6,328.6,397.8,397.8,559.4,559.4,697.8,697.8,20-29,Male,Recreational,36.5,3,1,1,66
1340,36.1,31,134.2,336,5,465,63.2,158.0,130.4,326.0,265.0,265.0,331.0,331.0,400.6,400.6,563.6,563.6,703.0,703.0,20-29,Male,Recreational,36.1,3,1,1,66
1348,35.7,30,129.9,339,5,470,63.8,159.5,131.6,329.0,267.2,267.2,333.4,333.4,403.6,403.6,567.8,567.8,708.2,708.2,20-29,Male,Recreational,35.7,3,1,1,67
1356,35.4,30,129.9,342,5,474,64.2,160.5,132.6,331.5,269.2,269.2,335.8,335.8,406.4,406.4,572.0,572.0,713.4,713.4,20-29,Male,Recreational,35.4,3,1,1,67
1364,35.0,29,125.6,345,5,479,64.8,162.0,133.8,334.5,271.2,271.2,338.2,338.2,409.4,409.4,576.2,576.2,718.6,718.6,20-29,Male,Recreational,35.0,3,1,1,67
1372,34.6,28,121.2,348,5,484,65.4,163.5,135.0,337.5,273.2,273.2,340.6,340.6,412.2,412.2,580.4,580.4,723.8,723.8,20-29,Male,Recreational,34.6,3,1,1,68
1380,34.2,28,121.2,351,5,489,66.0,165.0,136.0,340.0,275.2,275.2,343.0,343.0,415.0,415.0,584.6,584.6,729.0,729.0,20-29,Male,Recreational,34.2,3,1,1,68
1388,33.9,27,116.9,354,5,494,66.4,166.0,137.0,342.5,277.2,277.2,345.4,345.4,418.0,418.0,588.8,588.8,734.2,734.2,20-29,Male,Recreational,33.9,3,1,1,68
1396,33.5,26,112.6,357,5,499,67.0,167.5,138.2,345.5,279.2,279.2,347.8,347.8,420.8,420.8,593.0,593.0,739.4,739.4,20-29,Male,Recreational,33.5,3,1,1,69
1404,33.2,26,112.6,361,5,504,67.6,169.0,139.4,348.5,281.2,281.2,350.2,350.2,423.8,423.8,597.2,597.2,744.6,744.6,20-29,Male,Recreational,33.2,3,1,1,69
1412,32.8,25,108.2,364,5,509,68.2,170.5,140.6,351.5,283.4,283.4,352.6,352.6,426.6,426.6,601.4,601.4,749.8,749.8,20-29,Male,Recreational,32.8,3,1,1,69
1420,32.5,25,108.2,367,5,514,68.8,172.0,141.8,354.5,285.4,285.4,355.0,355.0,429.4,429.4,605.6,605.6,755.0,755.0,20-29,Male,Recreational,32.5,3,1,1,70
1428,32.1,24,103.9,371,5,520,69.4,173.5,143.0,357.5,287.6,287.6,357.4,357.4,432.4,432.4,609.8,609.8,760.2,760.2,20-29,Male,Recreational,32.1,3,1,1,70
1436,31.8,24,103.9,374,5,525,70.0,175.0,144.2,360.5,289.6,289.6,359.8,359.8,435.2,435.2,614.0,614.0,765.4,765.4,20-29,Male,Recreational,31.8,3,1,1,70
1444,31.5,23,99.6,377,5,530,70.6,176.5,145.4,363.5,291.8,291.8,362.2,362.2,438.2,438.2,618.2,618.2,770.6,770.6,20-29,Male,Recreational,31.5,3,1,1,71
1452,31.1,23,99.6,381,5,536,71.2,178.0,146.6,366.5,293.8,293.8,364.6,364.6,441.0,441.0,622.4,622.4,775.8,775.8,20-29,Male,Recreational,31.1,3,1,1,71
1460,30.8,22,95.3,384,5,541,71.8,179.5,147.8,369.5,296.0,296.0,367.0,367.0,444.0,444.0,626.6,626.6,781.0,781.0,20-29,Male,Recreational,30.8,3,1,1,71
1468,30.5,22,95.3,388,5,547,72.4,181.0,149.0,372.5,298.2,298.2,369.4,369.4,446.8,446.8,630.8,630.8,786.2,786.2,20-29,Male,Recreational,30.5,3,1,1,72
1476,30.2,21,90.9,391,5,552,73.0,182.5,150.2,375.5,300.2,300.2,371.8,371.8,449.6,449.6,635.0,635.0,791.4,791.4,20-29,Male,Recreational,30.2,3,1,1,72
1484,29.9,21,90.9,395,5,558,73.6,184.0,151.4,378.5,302.4,302.4,374.2,374.2,452.6,452.6,639.2,639.2,796.6,796.6,20-29,Male,Recreational,29.9,3,1,1,72
1492,29.6,20,86.6,398,5,563,74.2,185.5,152.6,381.5,304.6,304.6,376.6,376.6,455.4,455.4,643.4,643.4,801.8,801.8,20-29,Male,Recreational,29.6,3,1,1,73
1500,29.3,20,86.6,402,5,569,74.8,187.0,153.8,384.5,306.8,306.8,379.0,379.0,458.4,458.4,647.6,647.6,807.0,807.0,20-29,Male,Recreational,29.3,3,1,1,73
1508,29.0,19,82.3,405,5,575,75.4,188.5,155.0,387.5,309.0,309.0,381.4,381.4,461.2,461.2,651.8,651.8,812.2,812.2,20-29,Male,Recreational,29.0,3,1,1,73
1516,28.7,19,82.3,409,5,581,76.0,190.0,156.2,390.5,311.2,311.2,383.8,383.8,464.2,464.2,656.0,656.0,817.4,817.4,20-29,Male,Recreational,28.7,3,1,1,74
1524,28.4,18,77.9,413,5,587,76.6,191.5,157.4,393.5,313.4,313.4,386.2,386.2,467.0,467.0,660.2,660.2,822.6,822.6,20-29,Male,Recreational,28.4,3,1,1,74
1532,28.1,18,77.9,416,5,593,77.2,193.0,158.6,396.5,315.6,315.6,388.6,388.6,470.0,470.0,664.4,664.4,827.8,827.8,20-29,Male,Recreational,28.1,3,1,1,74
1540,27.8,17,73.6,420,5,599,78.0,195.0,160.0,400.0,318.0,318.0,391.0,391.0,472.8,472.8,668.6,668.6,833.0,833.0,20-29,Male,Recreational,27.8,3,1,1,75
1548,27.5,17,73.6,424,5,605,78.6,196.5,161.2,403.0,320.2,320.2,393.4,393.4,475.8,475.8,672.8,672.8,838.2,838.2,20-29,Male,Recreational,27.5,3,1,1,75
1556,27.2,16,69.3,428,5,611,79.2,198.0,162.4,406.0,322.4,322.4,395.8,395.8,478.6,478.6,677.0,677.0,843.4,843.4,20-29,Male,Recreational,27.2,3,1,1,75
1560,27.1,16,69.3,429,5,614,79.6,199.0,163.0,407.5,323.6,323.6,397.0,397.0,480.0,480.0,679.1,679.1,846.2,846.2,20-29,Male,Recreational,27.1,3,1,1,75
