Target_Time_sec,Target_Time_str,VDOT,Weekly_Mileage_km,Monthly_Mileage_km,Tempo_Run_Desc,Tempo_Pace_per_km,Long_Run_km,Long_Run_Pace_per_km,Rep_200m_x10_time_sec,Rep_200m_rest_sec,Rep_300m_x8_time_sec,Rep_300m_rest_sec,Int_400m_x8_time_sec,Int_400m_rest_sec,Int_600m_x5_time_sec,Int_600m_rest_sec,Int_800m_x5_time_sec,Int_800m_rest_sec,Int_1000m_x4_time_sec,Int_1000m_rest_sec,Age,Sex,Competition_Level,VO2max_est,Training_Freq_per_week,Running_History_yrs,Strength_Freq_per_week,RHR_bpm
225,00:03:45,70.9,118,511,6km total volume @ T-Pace (e.g. 6x1000m w/60s rest),00:03:29,24,00:04:16,36.6,110,54.9,165,78.8,79,118.2,118,157.6,158,197.0,197,21,Male,University/Club,71,7,7,2,41
228,00:03:48,69.7,114,494,6km total volume @ T-Pace (e.g. 6x1000m w/60s rest),00:03:32,23,00:04:20,37.2,112,55.8,167,80.4,80,120.6,121,160.8,161,201.0,201,21,Male,University/Club,70,7,6,2,42
231,00:03:51,68.5,110,476,6km total volume @ T-Pace (e.g. 6x1000m w/60s rest),00:03:35,22,00:04:23,37.8,113,56.7,170,81.6,82,122.4,122,163.2,163,204.0,204,21,Male,University/Club,69,6,6,2,42
234,00:03:54,67.4,106,459,6km total volume @ T-Pace (e.g. 5x1200m w/75s rest),00:03:38,21,00:04:27,38.6,116,57.9,174,82.8,83,124.2,124,165.6,166,207.0,207,22,Male,University/Club,67,6,6,2,43
237,00:03:57,66.3,102,442,6km total volume @ T-Pace (e.g. 5x1200m w/75s rest),00:03:41,20,00:04:30,39.2,118,58.8,176,84.4,84,126.6,127,168.8,169,211.0,211,22,Male,University/Club,66,6,6,2,43
240,00:04:00,65.2,98,424,5km total volume @ T-Pace (e.g. 5x1000m w/60s rest),00:03:44,20,00:04:34,40.0,120,60.0,180,85.6,86,128.4,128,171.2,171,214.0,214,22,Male,University/Club,65,6,5,2,44
243,00:04:03,64.2,95,411,5km total volume @ T-Pace (e.g. 5x1000m w/60s rest),00:03:47,19,00:04:38,40.6,122,60.9,183,87.2,87,130.8,131,174.4,174,218.0,218,23,Male,University/Club,64,6,5,2,44
246,00:04:06,63.2,92,398,5km total volume @ T-Pace (e.g. 5x1000m w/60s rest),00:03:50,18,00:04:42,41.4,124,62.1,186,88.4,88,132.6,133,176.8,177,221.0,221,23,Male,University/Club,63,6,5,2,45
249,00:04:09,62.2,89,385,5km total volume @ T-Pace (e.g. 5x1000m w/60s rest),00:03:53,18,00:04:46,42.0,126,63.0,189,89.6,90,134.4,134,179.2,179,224.0,224,23,Male,University/Club,62,5,5,2,46
252,00:04:12,61.2,86,372,5km total volume @ T-Pace (e.g. 5x1000m w/60s rest),00:03:56,17,00:04:50,42.8,128,64.2,193,91.2,91,136.8,137,182.4,182,228.0,228,24,Male,University/Club,61,5,5,2,46
255,00:04:15,60.3,83,359,5km total volume @ T-Pace (e.g. 5x1000m w/60s rest),00:03:59,17,00:04:54,43.4,130,65.1,195,92.4,92,138.6,139,184.8,185,231.0,231,24,Male,University/Club,60,5,4,2,47
258,00:04:18,59.4,80,347,5km total volume @ T-Pace (e.g. 5x1000m w/60s rest),00:04:02,16,00:04:58,44.2,133,66.3,199,93.6,94,140.4,140,187.2,187,234.0,234,25,Male,University/Club,59,5,4,2,47
261,00:04:21,58.5,77,333,5km total volume @ T-Pace (e.g. 5x1000m w/60s rest),00:04:05,15,00:05:02,45.0,135,67.5,203,94.8,95,142.2,142,189.6,190,237.0,237,25,Male,University/Club,59,5,4,2,48
264,00:04:24,57.6,74,320,5km total volume @ T-Pace (e.g. 5x1000m w/60s rest),00:04:08,15,00:05:06,45.6,137,68.4,205,96.4,96,144.6,145,192.8,193,241.0,241,26,Male,University/Club,58,5,4,2,48
267,00:04:27,56.8,72,312,5km total volume @ T-Pace (e.g. 5x1000m w/60s rest),00:04:11,14,00:05:11,46.4,139,69.6,209,97.6,98,146.4,146,195.2,195,244.0,244,26,Male,University/Club,57,5,4,1,49
270,00:04:30,55.9,70,303,5km total volume @ T-Pace (e.g. 5x1000m w/60s rest),00:04:14,14,00:05:15,47.2,142,70.8,212,99.2,99,148.8,149,198.4,198,248.0,248,27,Male,Masters/Local Races,56,5,4,1,49
273,00:04:33,55.1,68,294,5km total volume @ T-Pace (e.g. 5x1000m w/60s rest),00:04:17,14,00:05:20,48.0,144,72.0,216,100.4,100,150.6,151,200.8,201,251.0,251,28,Male,Masters/Local Races,55,5,3,1,50
276,00:04:36,54.3,66,286,5km total volume @ T-Pace (e.g. 5x1000m w/60s rest),00:04:20,13,00:05:24,48.6,146,72.9,219,102.0,102,153.0,153,204.0,204,255.0,255,29,Male,Masters/Local Races,54,4,3,1,50
279,00:04:39,53.5,64,277,5km total volume @ T-Pace (e.g. 5x1000m w/60s rest),00:04:23,13,00:05:29,49.4,148,74.1,222,103.2,103,154.8,155,206.4,206,258.0,258,30,Male,Masters/Local Races,54,4,3,1,51
282,00:04:42,52.8,62,268,5km total volume @ T-Pace (e.g. 5x1000m w/60s rest),00:04:26,12,00:05:34,50.2,151,75.3,226,104.8,105,157.2,157,209.6,210,262.0,262,31,Male,Masters/Local Races,53,4,3,1,51
285,00:04:45,52.0,60,260,5km total volume @ T-Pace (e.g. 5x1000m w/60s rest),00:04:29,12,00:05:38,51.0,153,76.5,230,106.0,106,159.0,159,212.0,212,265.0,265,32,Female,University/Club,52,4,3,1,52
288,00:04:48,51.3,58,251,5km total volume @ T-Pace (e.g. 5x1000m w/60s rest),00:04:32,12,00:05:43,51.6,155,77.4,232,107.6,108,161.4,161,215.2,215,269.0,269,33,Female,University/Club,51,4,3,1,52
291,00:04:51,50.6,56,242,5km total volume @ T-Pace (e.g. 5x1000m w/60s rest),00:04:35,11,00:05:48,52.4,157,78.6,236,109.2,109,163.8,164,218.4,218,273.0,273,34,Female,University/Club,51,4,3,1,53
294,00:04:54,49.9,54,234,5km total volume @ T-Pace (e.g. 5x1000m w/60s rest),00:04:38,11,00:05:53,53.2,160,79.8,239,110.4,110,165.6,166,220.8,221,276.0,276,35,Female,Masters/Local Races,50,4,2,1,53
297,00:04:57,49.2,52,225,5km total volume @ T-Pace (e.g. 5x1000m w/60s rest),00:04:41,10,00:05:58,54.0,162,81.0,243,112.0,112,168.0,168,224.0,224,280.0,280,36,Female,Masters/Local Races,49,4,2,1,54
300,00:05:00,48.5,50,217,5km total volume @ T-Pace (e.g. 5x1000m w/60s rest),00:04:44,10,00:06:03,54.8,164,82.2,247,113.6,114,170.4,170,227.2,227,284.0,284,37,Female,Masters/Local Races,49,4,2,1,54
303,00:05:03,47.9,49,212,5km total volume @ T-Pace (e.g. 5x1000m w/60s rest),00:04:47,10,00:06:08,55.6,167,83.4,250,114.8,115,172.2,172,229.6,230,287.0,287,38,Female,Masters/Local Races,48,4,2,1,55
306,00:05:06,47.2,48,208,5km total volume @ T-Pace (e.g. 5x1000m w/60s rest),00:04:50,10,00:06:13,56.4,169,84.6,254,116.4,116,174.6,175,232.8,233,291.0,291,39,Female,Masters/Local Races,47,4,2,1,55
309,00:05:09,46.6,47,203,5km total volume @ T-Pace (e.g. 5x1000m w/60s rest),00:04:53,9,00:06:18,57.2,172,85.8,257,117.6,118,176.4,176,235.2,235,294.0,294,40,Female,Masters/Local Races,47,4,2,1,56
312,00:05:12,46.0,46,199,5km total volume @ T-Pace (e.g. 5x1000m w/60s rest),00:04:56,9,00:06:23,58.0,174,87.0,261,119.2,119,178.8,179,238.4,238,298.0,298,41,Male,Recreational,46,4,2,1,56
315,00:05:15,45.4,45,195,5km total volume @ T-Pace (e.g. 5x1000m w/60s rest),00:04:59,9,00:06:28,58.8,176,88.2,265,120.4,120,180.6,181,240.8,241,301.0,301,42,Male,Recreational,45,4,2,1,57
318,00:05:18,44.8,44,190,5km total volume @ T-Pace (e.g. 5x1000m w/60s rest),00:05:02,9,00:06:33,59.6,179,89.4,268,122.0,122,183.0,183,244.0,244,305.0,305,43,Male,Recreational,45,4,2,1,57
321,00:05:21,44.2,43,186,5km total volume @ T-Pace (e.g. 5x1000m w/60s rest),00:05:05,9,00:06:38,60.4,181,90.6,272,123.6,124,185.4,185,247.2,247,309.0,309,44,Male,Recreational,44,4,2,1,58
324,00:05:24,43.6,42,182,5km total volume @ T-Pace (e.g. 5x1000m w/60s rest),00:05:08,8,00:06:43,61.2,184,91.8,275,124.8,125,187.2,187,249.6,250,312.0,312,45,Male,Recreational,44,3,2,1,58
327,00:05:27,43.1,41,178,5km total volume @ T-Pace (e.g. 5x1000m w/60s rest),00:05:11,8,00:06:49,62.0,186,93.0,279,126.4,126,189.6,190,252.8,253,316.0,316,46,Male,Recreational,43,3,2,1,59
330,00:05:30,42.5,40,173,5km total volume @ T-Pace (e.g. 5x1000m w/60s rest),00:05:14,8,00:06:54,62.8,188,94.2,283,128.0,128,192.0,192,256.0,256,320.0,320,47,Male,Recreational,43,3,2,1,59
333,00:05:33,42.0,39,169,5km total volume @ T-Pace (e.g. 5x1000m w/60s rest),00:05:17,8,00:06:59,63.6,191,95.4,286,129.2,129,193.8,194,258.4,258,323.0,323,48,Male,Recreational,42,3,2,1,60
336,00:05:36,41.4,38,165,5km total volume @ T-Pace (e.g. 5x1000m w/60s rest),00:05:21,8,00:07:05,64.6,194,96.9,291,130.8,131,196.2,196,261.6,262,327.0,327,49,Male,Recreational,41,3,2,1,60
339,00:05:39,40.9,37,160,5km total volume @ T-Pace (e.g. 5x1000m w/60s rest),00:05:24,7,00:07:10,65.4,196,98.1,294,132.4,132,198.6,199,264.8,265,331.0,331,50,Female,Recreational,41,3,1,1,61
342,00:05:42,40.4,36,156,5km total volume @ T-Pace (e.g. 5x1000m w/60s rest),00:05:27,7,00:07:16,66.2,199,99.3,298,133.6,134,200.4,200,267.2,267,334.0,334,51,Female,Recreational,40,3,1,1,61
345,00:05:45,39.9,35,152,5km total volume @ T-Pace (e.g. 5x1000m w/60s rest),00:05:30,7,00:07:21,67.0,201,100.5,302,135.2,135,202.8,203,270.4,270,338.0,338,52,Female,Recreational,40,3,1,1,62
348,00:05:48,39.4,34,147,5km total volume @ T-Pace (e.g. 5x1000m w/60s rest),00:05:34,7,00:07:27,68.0,204,102.0,306,136.8,137,205.2,205,273.6,274,342.0,342,25,Male,Novice,39,3,1,0,62
351,00:05:51,38.9,33,143,5km total volume @ T-Pace (e.g. 5x1000m w/60s rest),00:05:37,7,00:07:33,68.8,206,103.2,310,138.0,138,207.0,207,276.0,276,345.0,345,26,Male,Novice,39,3,1,0,63
354,00:05:54,38.4,32,139,5km total volume @ T-Pace (e.g. 5x1000m w/60s rest),00:05:40,6,00:07:38,69.6,209,104.4,313,139.6,140,209.4,209,279.2,279,349.0,349,27,Male,Novice,38,3,1,0,63
357,00:05:57,38.0,31,134,5km total volume @ T-Pace (e.g. 5x1000m w/60s rest),00:05:43,6,00:07:44,70.4,211,105.6,317,141.2,141,211.8,212,282.4,282,353.0,353,28,Male,Novice,38,3,1,0,64
360,00:06:00,37.5,30,130,5km total volume @ T-Pace (e.g. 5x1000m w/60s rest),00:05:47,6,00:07:50,71.4,214,107.1,321,142.4,142,213.6,214,284.8,285,356.0,356,29,Male,Novice,38,3,1,0,64
363,00:06:03,37.0,29,126,5km total volume @ T-Pace (e.g. 5x1000m w/60s rest),00:05:50,6,00:07:56,72.2,217,108.3,325,144.0,144,216.0,216,288.0,288,360.0,360,30,Male,Novice,37,3,1,0,65
366,00:06:06,36.6,28,121,5km total volume @ T-Pace (e.g. 5x1000m w/60s rest),00:05:54,6,00:08:02,73.0,219,109.5,329,145.6,146,218.4,218,291.2,291,364.0,364,31,Male,Novice,37,3,1,0,65
369,00:06:09,36.1,27,117,5km total volume @ T-Pace (e.g. 5x1000m w/60s rest),00:05:58,5,00:08:08,74.0,222,111.0,333,147.2,147,220.8,221,294.4,294,368.0,368,32,Female,Novice,36,3,1,0,66
372,00:06:12,35.7,26,113,5km total volume @ T-Pace (e.g. 5x1000m w/60s rest),00:06:01,5,00:08:15,74.8,224,112.2,337,148.8,149,223.2,223,297.6,298,372.0,372,33,Female,Novice,36,3,1,0,66
375,00:06:15,35.3,25,108,5km total volume @ T-Pace (e.g. 5x1000m w/60s rest),00:06:05,5,00:08:21,75.6,227,113.4,340,150.4,150,225.6,226,300.8,301,376.0,376,34,Female,Novice,35,3,1,0,67
378,00:06:18,34.8,24,104,5km total volume @ T-Pace (e.g. 5x1000m w/60s rest),00:06:09,5,00:08:28,76.6,230,114.9,345,152.0,152,228.0,228,304.0,304,380.0,380,35,Female,Novice,35,3,1,0,67
381,00:06:21,34.4,23,100,5km total volume @ T-Pace (e.g. 5x1000m w/60s rest),00:06:13,5,00:08:34,77.4,232,116.1,348,153.6,154,230.4,230,307.2,307,384.0,384,36,Female,Novice,34,3,1,0,68
384,00:06:24,34.0,22,95,5km total volume @ T-Pace (e.g. 5x1000m w/60s rest),00:06:17,4,00:08:41,78.4,235,117.6,353,155.2,155,232.8,233,310.4,310,388.0,388,37,Female,Novice,34,3,1,0,68
387,00:06:27,33.6,21,91,5km total volume @ T-Pace (e.g. 5x1000m w/60s rest),00:06:21,4,00:08:48,79.2,238,118.8,356,156.8,157,235.2,235,313.6,314,392.0,392,38,Female,Novice,34,3,1,0,69
390,00:06:30,33.2,20,87,5km total volume @ T-Pace (e.g. 5x1000m w/60s rest),00:06:25,4,00:08:55,80.0,240,120.0,360,158.4,158,237.6,238,316.8,317,396.0,396,39,Female,Novice,33,3,1,0,70
