10000m_Time,VDOT,Weekly_Mileage_km,Monthly_Mileage_km,Tempo_Run_Pace_per_km_sec,Long_Run_Max_Dist_km,Long_Run_Pace_per_km_sec,Age_Range,Gender,Competition_Level,VO2max_Est,Training_Freq_per_Week,Running_History_Years,Strength_Training_Freq_per_Week,Resting_Heart_Rate,Interval_400m_Time_sec,Interval_400m_Rest_sec,Interval_800m_Time_sec,Interval_800m_Rest_sec,Interval_1000m_Time_sec,Interval_1000m_Rest_sec,Interval_1200m_Time_sec,Interval_1200m_Rest_sec,Interval_2000m_Time_sec,Interval_2000m_Rest_sec,Interval_3000m_Time_sec,Interval_3000m_Rest_sec,Interval_4000m_Time_sec,Interval_4000m_Rest_sec
31:12,69.9,120-160,520-693,198.2,30-38,245-273,20-35,Male,National Class,66-71,8-10,7-11,2,38-46,76.1,120,152.2,150,190.3,180,228.3,180,396.4,150,594.6,180,792.8,210
31:24,69.3,115-155,498-671,200.0,28-36,248-275,20-35,Male,National Class,65-70,7-10,6-10,2,38-46,76.9,120,153.8,150,192.3,180,230.7,180,400.0,150,600.0,180,800.0,210
31:36,68.7,115-155,498-671,201.7,28-36,250-278,20-35,Male,National Class,65-70,7-10,6-10,2,38-46,77.6,120,155.2,150,194.0,180,232.8,180,403.4,150,605.1,180,806.8,210
31:48,68.1,110-150,476-650,203.5,28-36,252-280,20-35,Male,National Class,64-69,7-10,6-10,2,39-47,78.4,120,156.8,150,196.0,180,235.2,180,407.0,150,610.5,180,814.0,210
32:00,67.5,110-150,476-650,205.3,28-36,254-282,19-40,Male,Collegiate/Club,64-69,7-9,6-10,1-2,39-47,79.1,120,158.2,150,197.8,180,237.3,180,410.6,150,615.9,180,821.2,210
32:12,67.0,105-145,455-628,207.0,28-35,256-285,19-40,Male,Collegiate/Club,63-68,7-9,5-10,1-2,40-48,79.9,120,159.8,150,199.8,180,239.7,180,414.0,150,621.0,180,828.0,210
32:24,66.4,105-145,455-628,208.8,28-35,258-287,19-40,Male,Collegiate/Club,63-68,7-9,5-10,1-2,40-48,80.7,120,161.4,160,201.8,180,242.1,180,417.6,150,626.4,180,835.2,210
32:36,65.9,100-140,433-606,210.5,28-35,261-290,19-40,Male,Collegiate/Club,62-67,6-9,5-10,1-2,40-48,81.4,120,162.8,160,203.5,180,244.2,180,421.0,150,631.5,180,842.0,210
32:48,65.3,100-140,433-606,212.3,28-35,263-292,19-40,Male,Collegiate/Club,62-67,6-9,5-10,1-2,40-48,82.2,120,164.4,160,205.5,180,246.6,180,424.6,150,636.9,180,849.2,210
33:00,64.8,100-135,433-585,214.1,25-34,265-294,19-40,Male,Collegiate/Club,61-66,6-8,5-9,1-2,41-49,83.0,120,166.0,160,207.5,180,249.0,180,428.2,150,642.3,180,856.4,210
33:12,64.3,95-135,411-585,215.9,25-34,267-297,19-40,Male,Collegiate/Club,61-66,6-8,5-9,1-2,41-49,83.8,120,167.6,160,209.5,180,251.4,180,431.8,150,647.7,180,863.6,210
33:24,63.8,95-130,411-563,217.7,25-34,270-299,19-40,Male,Collegiate/Club,60-65,6-8,4-9,1-2,41-49,84.5,120,169.0,160,211.3,180,253.5,180,435.4,150,653.1,180,870.8,210
33:36,63.3,90-130,390-563,219.5,25-34,272-302,19-40,Male,Collegiate/Club,60-65,6-8,4-9,1-2,42-50,85.3,120,170.6,160,213.3,180,255.9,180,439.0,150,658.5,180,878.0,210
33:48,62.8,90-125,390-541,221.3,25-32,274-304,19-40,Male,Collegiate/Club,59-64,6-8,4-8,1-2,42-50,86.1,120,172.2,160,215.3,180,258.3,180,442.6,150,663.9,180,885.2,210
34:00,62.3,85-125,368-541,223.1,25-32,276-307,19-45,Male,Collegiate/Club,59-64,5-7,4-8,1-2,42-50,86.9,120,173.8,170,217.3,180,260.7,180,446.2,150,669.3,180,892.4,210
34:12,61.8,85-120,368-520,225.0,25-32,279-309,19-45,Male,Collegiate/Club,58-63,5-7,4-8,1-2,43-51,87.7,120,175.4,170,219.3,180,263.1,180,450.0,150,675.0,180,900.0,210
34:24,61.4,80-120,346-520,226.8,25-32,281-312,19-45,Male,Collegiate/Club,58-63,5-7,3-8,1-2,43-51,88.5,120,177.0,170,221.3,180,265.5,180,453.6,150,680.4,180,907.2,210
34:36,60.9,80-115,346-498,228.7,25-32,283-314,19-45,Male,Collegiate/Club,57-62,5-7,3-8,1-2,43-51,89.3,120,178.6,170,223.3,180,267.9,180,457.4,150,686.1,180,914.8,210
34:48,60.5,80-115,346-498,230.5,25-32,285-317,19-45,Male,Collegiate/Club,57-62,5-7,3-7,1-2,44-52,90.1,120,180.2,170,225.3,180,270.3,180,461.0,150,691.5,180,922.0,210
35:00,60.0,75-110,325-476,232.4,22-30,288-319,20-50,Male/Female,Competitive Club,56-61,5-7,3-7,1-2,44-52,90.9,120,181.8,170,227.3,180,272.7,180,464.8,150,697.2,180,929.6,210
35:12,59.6,75-110,325-476,234.3,22-30,290-322,20-50,Male/Female,Competitive Club,56-61,5-7,3-7,1-2,44-52,91.7,120,183.4,170,229.3,180,275.1,180,468.6,150,702.9,180,937.2,210
35:24,59.1,70-105,303-455,236.2,22-30,292-325,20-50,Male/Female,Competitive Club,55-60,5-6,3-6,1-2,45-53,92.6,120,185.2,170,231.5,180,277.8,180,472.4,150,708.6,180,944.8,210
35:36,58.7,70-105,303-455,238.1,22-30,295-327,20-50,Male/Female,Competitive Club,55-60,5-6,3-6,1-2,45-53,93.4,120,186.8,170,233.5,180,280.2,180,476.2,150,714.3,180,952.4,210
35:48,58.3,70-100,303-433,240.0,22-30,297-330,20-50,Male/Female,Competitive Club,54-59,5-6,3-6,1-2,45-53,94.2,120,188.4,170,235.5,180,282.6,180,480.0,150,720.0,180,960.0,210
36:00,57.8,65-100,281-433,241.9,20-28,299-332,20-55,Male/Female,Competitive Club,54-59,4-6,2-6,1-2,46-54,95.1,120,190.2,170,237.8,180,285.3,180,483.8,150,725.7,180,967.6,210
36:12,57.4,65-100,281-433,243.8,20-28,302-335,20-55,Male/Female,Competitive Club,53-58,4-6,2-6,1-2,46-54,95.9,120,191.8,170,239.8,180,287.7,180,487.6,150,731.4,180,975.2,210
36:24,57.0,65-95,281-411,245.7,20-28,304-338,20-55,Male/Female,Competitive Club,53-58,4-6,2-5,1-2,46-54,96.7,120,193.4,170,241.8,180,290.1,180,491.4,150,737.1,180,982.8,210
36:36,56.6,60-95,260-411,247.7,20-28,307-340,20-55,Male/Female,Competitive Club,52-57,4-6,2-5,1-2,47-55,97.6,120,195.2,170,244.0,180,292.8,180,495.4,150,743.1,180,990.8,210
36:48,56.2,60-90,260-390,249.6,20-28,309-343,20-55,Male/Female,Competitive Club,52-57,4-6,2-5,1-2,47-55,98.4,120,196.8,170,246.0,180,295.2,180,499.2,150,748.8,180,998.4,210
37:00,55.8,60-90,260-390,251.6,20-28,311-346,20-55,Male/Female,Competitive Club,51-56,4-5,2-5,1,47-55,99.3,120,198.6,170,248.3,180,297.9,180,503.2,150,754.8,180,1006.4,210
37:12,55.4,55-90,238-390,253.5,18-26,314-348,20-60,Male/Female,Competitive Club,51-56,4-5,2-5,1,48-56,100.1,120,200.2,170,250.3,180,300.3,180,507.0,150,760.5,180,1014.0,210
37:24,55.0,55-85,238-368,255.5,18-26,316-351,20-60,Male/Female,Competitive Club,50-55,4-5,2-5,1,48-56,101.0,120,202.0,170,252.5,180,303.0,180,511.0,150,766.5,180,1022.0,210
37:36,54.6,55-85,238-368,257.5,18-26,319-354,20-60,Male/Female,Competitive Club,50-55,4-5,1-4,1,48-56,101.8,120,203.6,170,254.5,180,305.4,180,515.0,150,772.5,180,1030.0,210
37:48,54.2,50-85,216-368,259.5,18-26,321-357,20-60,Male/Female,Competitive Club,49-54,4-5,1-4,1,49-57,102.7,120,205.4,170,256.8,180,308.1,180,519.0,150,778.5,180,1038.0,210
38:00,53.8,50-80,216-346,261.5,18-25,324-359,20-60,Male/Female,Competitive Club,49-54,3-5,1-4,1,49-57,103.6,120,207.2,170,259.0,180,310.8,180,523.0,150,784.5,180,1046.0,210
38:12,53.4,50-80,216-346,263.5,18-25,326-362,20-60,Male/Female,Competitive Club,49-54,3-5,1-4,1,49-57,104.4,120,208.8,170,261.0,180,313.2,180,527.0,150,790.5,180,1054.0,210
38:24,53.1,50-80,216-346,265.5,18-25,328-365,20-60,Male/Female,Competitive Club,48-53,3-5,1-4,1,50-58,105.3,120,210.6,170,263.3,180,315.9,180,531.0,150,796.5,180,1062.0,210
38:36,52.7,45-75,195-325,267.5,18-25,331-368,20-60,Male/Female,Competitive Club,48-53,3-5,1-4,1,50-58,106.2,120,212.4,170,265.5,180,318.6,180,535.0,150,802.5,180,1070.0,210
38:48,52.3,45-75,195-325,269.6,18-25,334-370,20-60,Male/Female,Competitive Club,47-52,3-5,1-4,1,50-58,107.1,120,214.2,170,267.8,180,321.3,180,539.2,150,808.8,180,1078.4,210
39:00,51.9,45-75,195-325,271.7,16-24,336-373,20-60,Male/Female,Competitive Club,47-52,3-5,1-4,1,51-59,107.9,120,215.8,170,269.8,180,323.7,180,543.4,150,815.1,180,1086.8,210
39:12,51.6,45-70,195-303,273.7,16-24,339-376,20-60,Male/Female,Competitive Club,46-51,3-5,1-3,1,51-59,108.8,120,217.6,170,272.0,180,326.4,180,547.4,150,821.1,180,1094.8,210
39:24,51.2,40-70,173-303,275.8,16-24,341-379,20-65,Male/Female,Competitive Club,46-51,3-5,1-3,1,51-59,109.7,120,219.4,170,274.3,180,329.1,180,551.6,150,827.4,180,1103.2,210
39:36,50.8,40-70,173-303,277.9,16-24,344-382,20-65,Male/Female,Competitive Club,45-50,3-5,1-3,1,52-60,110.6,120,221.2,170,276.5,180,331.8,180,555.8,150,833.7,180,1111.6,210
39:48,50.5,40-65,173-281,280.0,16-24,346-385,20-65,Male/Female,Competitive Club,45-50,3-5,1-3,1,52-60,111.4,120,222.8,170,278.5,180,334.2,180,560.0,150,840.0,180,1120.0,210
40:00,50.1,40-65,173-281,282.1,15-22,349-388,20-65,Male/Female,Dedicated Amateur,45-50,3-5,1-3,0-1,52-60,112.3,120,224.6,170,280.8,180,336.9,180,564.2,150,846.3,180,1128.4,210
40:12,49.8,40-65,173-281,284.2,15-22,352-390,20-65,Male/Female,Dedicated Amateur,44-49,3-5,1-3,0-1,53-61,113.2,120,226.4,170,283.0,180,339.6,180,568.4,150,852.6,180,1136.8,210
40:24,49.4,35-65,151-281,286.3,15-22,354-393,20-65,Male/Female,Dedicated Amateur,44-49,3-5,1-3,0-1,53-61,114.1,120,228.2,170,285.3,180,342.3,180,572.6,150,858.9,180,1145.2,210
40:36,49.1,35-60,151-260,288.4,15-22,357-396,20-65,Male/Female,Dedicated Amateur,43-48,3-5,1-3,0-1,53-61,115.0,120,230.0,170,287.5,180,345.0,180,576.8,150,865.2,180,1153.6,210
40:48,48.7,35-60,151-260,290.6,15-22,359-399,20-65,Male/Female,Dedicated Amateur,43-48,3-5,1-3,0-1,54-62,115.8,120,231.6,170,289.5,180,347.4,180,581.2,150,871.8,180,1162.4,210
41:00,48.4,35-60,151-260,292.7,15-22,362-402,20-65,Male/Female,Dedicated Amateur,42-47,3-5,1-3,0-1,54-62,116.7,120,233.4,170,291.8,180,350.1,180,585.4,150,878.1,180,1170.8,210
41:12,48.1,35-60,151-260,294.9,15-22,365-405,20-65,Male/Female,Dedicated Amateur,42-47,3-5,1-3,0-1,54-62,117.6,120,235.2,170,294.0,180,352.8,180,589.8,150,884.7,180,1179.6,210
41:24,47.7,30-55,130-238,297.0,15-20,367-408,20-70,Male/Female,Dedicated Amateur,41-46,3-4,1-2,0-1,55-63,118.5,120,237.0,170,296.3,180,355.5,180,594.0,150,891.0,180,1188.0,210
41:36,47.4,30-55,130-238,299.2,15-20,370-411,20-70,Male/Female,Dedicated Amateur,41-46,3-4,1-2,0-1,55-63,119.4,120,238.8,170,298.5,180,358.2,180,598.4,150,897.6,180,1196.8,210
41:48,47.1,30-55,130-238,301.4,15-20,373-414,20-70,Male/Female,Dedicated Amateur,41-46,3-4,1-2,0-1,55-63,120.2,120,240.4,170,300.5,180,360.6,180,602.8,150,904.2,180,1205.6,210
42:00,46.8,30-55,130-238,303.6,15-20,376-417,20-70,Male/Female,Dedicated Amateur,40-45,3-4,1-2,0-1,56-64,121.1,120,242.2,170,302.8,180,363.3,180,607.2,150,910.8,180,1214.4,210
42:12,46.5,30-55,130-238,305.8,15-20,378-420,20-70,Male/Female,Dedicated Amateur,40-45,3-4,1-2,0-1,56-64,122.0,120,244.0,170,305.0,180,366.0,180,611.6,150,917.4,180,1223.2,210
42:24,46.2,30-50,130-216,308.0,15-20,381-423,20-70,Male/Female,Dedicated Amateur,39-44,3-4,1-2,0-1,56-64,122.9,120,245.8,170,307.3,180,368.7,180,616.0,150,924.0,180,1232.0,210
42:36,45.9,30-50,130-216,310.2,15-20,384-426,20-70,Male/Female,Dedicated Amateur,39-44,3-4,1-2,0-1,57-65,123.8,120,247.6,170,309.5,180,371.4,180,620.4,150,930.6,180,1240.8,210
42:48,45.6,30-50,130-216,312.5,15-20,387-429,20-70,Male/Female,Dedicated Amateur,39-44,3-4,1-2,0-1,57-65,124.7,120,249.4,170,311.8,180,374.1,180,625.0,150,937.5,180,1250.0,210
43:00,45.3,30-50,130-216,314.7,15-20,389-432,20-70,Male/Female,Dedicated Amateur,38-43,3-4,1-2,0-1,57-65,125.6,120,251.2,170,314.0,180,376.8,180,629.4,150,944.1,180,1258.8,210
43:12,45.0,25-50,108-216,317.0,12-18,392-435,20-70,Male/Female,Dedicated Amateur,38-43,3-4,0-2,0-1,58-66,126.5,120,253.0,170,316.3,180,379.5,180,634.0,150,951.0,180,1268.0,210
43:24,44.7,25-50,108-216,319.3,12-18,395-438,20-70,Male/Female,Dedicated Amateur,38-43,3-4,0-2,0-1,58-66,127.4,120,254.8,170,318.5,180,382.2,180,638.6,150,957.9,180,1277.2,210
43:36,44.4,25-50,108-216,321.6,12-18,398-442,20-70,Male/Female,Dedicated Amateur,37-42,3-4,0-2,0-1,58-66,128.3,120,256.6,170,320.8,180,384.9,180,643.2,150,964.8,180,1286.4,210
43:48,44.1,25-45,108-195,323.9,12-18,401-445,20-70,Male/Female,Dedicated Amateur,37-42,3-4,0-2,0-1,59-67,129.2,120,258.4,170,323.0,180,387.6,180,647.8,150,971.7,180,1295.6,210
44:00,43.8,25-45,108-195,326.2,12-18,404-448,20-70,Male/Female,Dedicated Amateur,36-41,3-4,0-2,0-1,59-67,130.1,120,260.2,170,325.3,180,390.3,180,652.4,150,978.6,180,1304.8,210
44:12,43.5,25-45,108-195,328.5,12-18,406-451,20-70,Male/Female,Dedicated Amateur,36-41,3-4,0-2,0-1,59-67,131.0,120,262.0,170,327.5,180,393.0,180,657.0,150,985.5,180,1314.0,210
44:24,43.2,25-45,108-195,330.9,12-18,409-454,20-70,Male/Female,Dedicated Amateur,36-41,3-4,0-2,0-1,60-68,131.9,120,263.8,170,329.8,180,395.7,180,661.8,150,992.7,180,1323.6,210
44:36,42.9,25-45,108-195,333.2,12-18,412-458,20-70,Male/Female,Dedicated Amateur,35-40,3-4,0-2,0-1,60-68,132.8,120,265.6,170,332.0,180,398.4,180,666.4,150,999.6,180,1332.8,210
44:48,42.6,25-45,108-195,335.6,12-18,415-461,20-70,Male/Female,Dedicated Amateur,35-40,3-4,0-2,0-1,60-68,133.8,120,267.6,170,334.5,180,401.4,180,671.2,150,1006.8,180,1342.4,210
45:00,42.4,25-45,108-195,338.0,12-18,418-464,20-70,Male/Female,Dedicated Amateur,35-40,3-4,0-2,0-1,61-69,134.7,120,269.4,170,336.8,180,404.1,180,676.0,150,1014.0,180,1352.0,210
45:12,42.1,25-40,108-173,340.4,12-18,421-467,20-75,Male/Female,Foundational/Developing,34-39,3-4,0-2,0,61-69,135.7,120,271.4,170,339.3,180,407.1,180,680.8,150,1021.2,180,1361.6,210
45:24,41.8,25-40,108-173,342.8,12-18,424-471,20-75,Male/Female,Foundational/Developing,34-39,3-4,0-2,0,61-69,136.6,120,273.2,170,341.5,180,409.8,180,685.6,150,1028.4,180,1371.2,210
45:36,41.5,25-40,108-173,345.2,12-18,427-474,20-75,Male/Female,Foundational/Developing,34-39,3-4,0-2,0,62-70,137.6,120,275.2,170,344.0,180,412.8,180,690.4,150,1035.6,180,1380.8,210
45:48,41.2,25-40,108-173,347.7,12-18,430-477,20-75,Male/Female,Foundational/Developing,33-38,3-4,0-2,0,62-70,138.6,120,277.2,170,346.5,180,415.8,180,695.4,150,1043.1,180,1390.8,210
46:00,40.9,25-40,108-173,350.1,12-18,433-481,20-75,Male/Female,Foundational/Developing,33-38,3-4,0-2,0,62-70,139.6,120,279.2,170,349.0,180,418.8,180,700.2,150,1050.3,180,1400.4,210
46:12,40.7,25-40,108-173,352.6,12-18,436-484,20-75,Male/Female,Foundational/Developing,33-38,3-4,0-2,0,63-71,140.5,120,281.0,170,351.3,180,421.5,180,705.2,150,1057.8,180,1410.4,210
46:24,40.4,20-35,86-151,355.1,12-16,439-488,20-75,Male/Female,Foundational/Developing,32-37,3-4,0-1,0,63-71,141.5,120,283.0,170,353.8,180,424.5,180,710.2,150,1065.3,180,1420.4,210
46:36,40.1,20-35,86-151,357.6,12-16,442-491,20-75,Male/Female,Foundational/Developing,32-37,3-4,0-1,0,63-71,142.5,120,285.0,170,356.3,180,427.5,180,715.2,150,1072.8,180,1430.4,210
46:48,39.9,20-35,86-151,360.1,12-16,446-495,20-75,Male/Female,Foundational/Developing,32-37,3-4,0-1,0,64-72,143.5,120,287.0,170,358.8,180,430.5,180,720.2,150,1080.3,180,1440.4,210
47:00,39.6,20-35,86-151,362.7,12-16,449-498,20-75,Male/Female,Foundational/Developing,31-36,3-4,0-1,0,64-72,144.5,120,289.0,170,361.3,180,433.5,180,725.4,150,1088.1,180,1450.8,210
47:12,39.3,20-35,86-151,365.3,12-16,452-502,20-75,Male/Female,Foundational/Developing,31-36,3-4,0-1,0,64-72,145.5,120,291.0,170,363.8,180,436.5,180,730.6,150,1095.9,180,1461.2,210
47:24,39.1,20-35,86-151,367.8,12-16,455-505,20-75,Male/Female,Foundational/Developing,31-36,3-4,0-1,0,65-73,146.5,120,293.0,170,366.3,180,439.5,180,735.6,150,1103.4,180,1471.2,210
47:36,38.8,20-35,86-151,370.4,12-16,458-509,20-75,Male/Female,Foundational/Developing,30-35,3-4,0-1,0,65-73,147.6,120,295.2,170,369.0,180,442.8,180,740.8,150,1111.2,180,1481.6,210
47:48,38.6,20-35,86-151,373.0,12-16,461-512,20-75,Male/Female,Foundational/Developing,30-35,3-4,0-1,0,65-73,148.6,120,297.2,170,371.5,180,445.8,180,746.0,150,1119.0,180,1492.0,210
48:00,38.3,20-35,86-151,375.6,12-16,465-516,20-75,Male/Female,Foundational/Developing,30-35,3-4,0-1,0,66-74,149.6,120,299.2,170,374.0,180,448.8,180,751.2,150,1126.8,180,1502.4,210
48:12,38.1,20-35,86-151,378.3,12-16,468-520,20-75,Male/Female,Foundational/Developing,30-35,3-4,0-1,0,66-74,150.7,120,301.4,170,376.8,180,452.1,180,756.6,150,1134.9,180,1513.2,210
48:24,37.8,20-30,86-130,380.9,10-15,471-523,20-75,Male/Female,Foundational/Developing,29-34,3,0-1,0,66-74,151.8,120,303.6,170,379.5,180,455.4,180,761.8,150,1142.7,180,1523.6,210
48:36,37.6,20-30,86-130,383.6,10-15,474-527,20-75,Male/Female,Foundational/Developing,29-34,3,0-1,0,67-75,152.8,120,305.6,170,382.0,180,458.4,180,767.2,150,1150.8,180,1534.4,210
48:48,37.4,20-30,86-130,386.3,10-15,478-531,20-75,Male/Female,Foundational/Developing,29-34,3,0-1,0,67-75,153.9,120,307.8,170,384.8,180,461.7,180,772.6,150,1158.9,180,1545.2,210
49:00,37.1,20-30,86-130,389.0,10-15,481-534,20-75,Male/Female,Foundational/Developing,28-33,3,0-1,0,67-75,155.0,120,310.0,170,387.5,180,465.0,180,778.0,150,1167.0,180,1556.0,210
49:12,36.9,20-30,86-130,391.7,10-15,485-538,20-75,Male/Female,Foundational/Developing,28-33,3,0-1,0,68-76,156.1,120,312.2,170,390.3,180,468.3,180,783.4,150,1175.1,180,1566.8,210
49:24,36.7,20-30,86-130,394.4,10-15,488-542,20-75,Male/Female,Foundational/Developing,28-33,3,0-1,0,68-76,157.2,120,314.4,170,393.0,180,471.6,180,788.8,150,1183.2,180,1577.6,210
49:36,36.4,20-30,86-130,397.2,10-15,491-546,20-75,Male/Female,Foundational/Developing,27-32,3,0-1,0,68-76,158.3,120,316.6,170,395.8,180,474.9,180,794.4,150,1191.6,180,1588.8,210
49:48,36.2,20-30,86-130,400.0,10-15,495-550,20-75,Male/Female,Foundational/Developing,27-32,3,0-1,0,69-77,159.4,120,318.8,170,398.5,180,478.2,180,800.0,150,1200.0,180,1600.0,210
50:00,36.0,20-30,86-130,402.8,10-15,498-553,20-75,Male/Female,Foundational/Developing,27-32,3,0-1,0,69-77,160.5,120,321.0,170,401.3,180,481.5,180,805.6,150,1208.4,180,1611.2,210
50:12,35.8,15-25,65-108,405.6,10-14,502-557,20-75,Male/Female,Foundational/Developing,26-31,3,0,0,69-77,161.6,120,323.2,170,404.0,180,484.8,180,811.2,150,1216.8,180,1622.4,210
50:24,35.6,15-25,65-108,408.4,10-14,505-561,20-75,Male/Female,Foundational/Developing,26-31,3,0,0,70-78,162.8,120,325.6,170,407.0,180,488.4,180,816.8,150,1225.2,180,1633.6,210
50:36,35.4,15-25,65-108,411.3,10-14,509-565,20-75,Male/Female,Foundational/Developing,26-31,3,0,0,70-78,163.9,120,327.8,170,409.8,180,491.7,180,822.6,150,1233.9,180,1645.2,210
50:48,35.1,15-25,65-108,414.1,10-14,512-569,20-75,Male/Female,Foundational/Developing,25-30,3,0,0,70-78,165.1,120,330.2,170,412.8,180,495.3,180,828.2,150,1242.3,180,1656.4,210
51:00,34.9,15-25,65-108,417.0,10-14,516-573,20-75,Male/Female,Foundational/Developing,25-30,3,0,0,71-79,166.2,120,332.4,170,415.5,180,498.6,180,834.0,150,1251.0,180,1668.0,210
51:12,34.7,15-25,65-108,419.8,10-14,519-577,20-75,Male/Female,Foundational/Developing,25-30,3,0,0,71-79,167.4,120,334.8,170,418.5,180,502.2,180,839.6,150,1259.4,180,1679.2,210
51:24,34.5,15-25,65-108,422.7,10-14,523-581,20-75,Male/Female,Foundational/Developing,25-30,3,0,0,71-79,168.5,120,337.0,170,421.3,180,505.5,180,845.4,150,1268.1,180,1690.8,210
51:36,34.3,15-25,65-108,425.6,10-14,526-585,20-75,Male/Female,Foundational/Developing,24-29,3,0,0,72-80,169.7,120,339.4,170,424.3,180,509.1,180,851.2,150,1276.8,180,1702.4,210
