Target_5km_Time_seconds,Target_5km_Pace_per_km_seconds,Weekly_Mileage_km,Monthly_Mileage_km,Tempo_Run_8-12km_Pace_per_km_seconds,Long_Run_Max_Distance_km,Long_Run_Pace_per_km_seconds,Age_Range_Min,Age_Range_Max,Gender,Competition_Level,VO2max_ml_kg_min,Training_Frequency_per_week,Running_History_years,Strength_Training_Frequency_per_week,Resting_Heart_Rate_bpm,Interval_400m_x10-12_Avg_Time_seconds,Interval_400m_x10-12_Rest_Time_seconds,Interval_800m_x6-8_Avg_Time_seconds,Interval_800m_x6-8_Rest_Time_seconds,Interval_1000m_x5-6_Avg_Time_seconds,Interval_1000m_x5-6_Rest_Time_seconds,Interval_1200m_x4-5_Avg_Time_seconds,Interval_1200m_x4-5_Rest_Time_seconds,Interval_1600m_x3-4_Avg_Time_seconds,Interval_1600m_x3-4_Rest_Time_seconds,Interval_2000m_x3_Avg_Time_seconds,Interval_2000m_x3_Rest_Time_seconds
1428,286,60,252,287,17,322,20,50,3,3,55,6,4.1,2,47,50,80,105,190,137,250,170,310,240,370,393,430
1420,284,60,254,285,17,320,20,50,3,3,55,6,4.1,2,47,49,80,103,190,135,250,167,310,236,370,389,430
1412,282,61,257,283,17,318,20,50,3,3,56,6,4.2,2,46,48,80,101,190,132,250,164,310,232,370,385,430
1404,281,61,259,281,17,316,20,50,3,3,56,6,4.2,2,46,47,80,99,190,130,250,161,310,228,370,381,430
1396,279,62,261,279,17,314,20,50,3,3,56,6,4.3,2,46,46,80,97,190,127,250,158,310,224,370,377,430
1388,278,62,263,277,17,312,20,50,3,3,56,6,4.3,2,46,45,80,95,190,125,250,155,310,220,370,373,430
1380,276,63,265,275,17,310,20,50,3,3,57,6,4.4,2,45,44,80,93,190,122,250,152,310,216,370,369,430
1372,274,63,267,273,17,308,20,50,3,3,57,6,4.4,2,45,43,80,91,190,120,250,149,310,212,370,365,430
1364,273,64,269,271,18,306,20,45,3,3,57,6,4.5,2,45,42,80,89,190,117,250,146,310,208,370,361,430
1356,271,64,271,269,18,304,20,45,3,3,57,6,4.5,2,45,41,80,87,190,115,250,143,310,204,370,357,430
1348,270,65,273,267,18,302,20,45,3,3,58,6,4.6,2,44,40,80,85,190,112,250,140,310,200,370,353,430
1340,268,65,275,265,18,300,20,45,3,3,58,6,4.6,2,44,39,80,83,190,110,250,137,310,196,370,349,430
1332,266,66,277,263,18,298,20,45,3,3,58,6,4.7,2,44,38,80,81,190,107,250,134,310,192,370,345,430
1324,265,66,279,261,18,296,20,45,3,3,58,6,4.7,2,44,37,80,79,190,105,250,131,310,188,370,341,430
1316,263,67,282,259,18,294,20,45,3,3,59,6,4.8,2,43,36,75,77,180,102,240,128,300,184,360,337,420
1308,262,67,284,257,18,292,20,45,3,3,59,6,4.8,2,43,35,75,75,180,100,240,125,300,180,360,333,420
1300,260,68,286,255,18,290,20,45,3,3,59,6,4.9,2,43,34,75,73,180,97,240,122,300,176,360,329,420
1292,258,68,288,253,19,288,20,45,3,3,59,6,4.9,2,43,33,75,71,180,95,240,119,300,172,360,325,420
1284,257,69,290,251,19,286,20,45,3,3,60,6,5.0,2,42,32,75,69,180,92,240,116,300,168,360,321,420
1276,255,69,292,249,19,284,20,45,3,3,60,6,5.0,2,42,31,75,67,180,90,240,113,300,164,360,317,420
1268,254,70,294,247,19,282,20,45,3,3,60,6,5.0,2,42,30,75,65,180,87,240,110,300,160,360,313,420
1260,252,70,296,245,19,280,20,45,3,3,60,6,5.0,2,42,29,75,63,180,85,240,107,300,156,360,309,420
1252,250,71,298,243,19,278,20,45,3,3,61,6,5.0,2,41,28,75,61,180,82,240,104,300,152,360,305,420
1244,249,71,300,241,19,276,20,45,3,3,61,6,5.0,2,41,27,75,59,180,80,240,101,300,148,360,301,420
1236,247,72,302,239,20,274,20,45,3,3,61,6,5.0,2,41,26,75,57,180,77,240,98,300,144,360,297,420
1228,246,72,305,237,20,272,20,45,3,3,61,6,5.0,2,41,25,75,55,180,75,240,95,300,140,360,293,420
1220,244,73,307,235,20,270,20,45,3,3,62,6,5.0,2,40,24,75,53,180,72,240,92,300,136,360,289,420
1212,242,73,309,233,20,268,20,45,3,3,62,6,5.0,2,40,23,75,51,180,70,240,89,300,132,360,285,420
1204,241,74,311,231,20,266,20,45,3,3,62,6,5.0,2,40,22,75,49,180,67,240,86,300,128,360,281,420
1200,240,74,312,230,20,265,20,45,3,3,62,6,5.0,2,40,21,75,48,180,66,240,85,300,126,360,279,420
1192,238,75,315,228,21,263,20,40,1,4,63,7,6.0,2,40,80,70,158,170,198,230,240,290,328,350,416,410
1184,237,76,318,226,21,261,20,40,1,4,63,7,6.0,2,40,79,70,156,170,196,230,237,290,324,350,412,410
1176,235,77,321,224,21,259,20,40,1,4,63,7,6.0,2,39,78,70,154,170,194,230,234,290,320,350,408,410
1168,234,78,324,222,21,257,20,40,1,4,64,7,6.0,2,39,77,70,152,170,192,230,231,290,316,350,404,410
1160,232,79,327,220,22,255,20,40,1,4,64,7,6.0,2,39,76,70,150,170,190,230,228,290,312,350,400,410
1152,230,80,330,218,22,253,20,40,1,4,64,7,6.0,2,39,75,70,148,170,188,230,225,290,308,350,396,410
1144,229,81,333,216,22,251,20,40,1,4,65,7,6.0,2,38,74,70,146,170,186,230,222,290,304,350,392,410
1136,227,82,336,214,22,249,20,40,1,4,65,7,7.0,2,38,73,70,144,170,184,230,219,290,300,350,388,410
1128,226,83,339,212,23,247,20,40,1,4,65,7,7.0,2,38,72,70,142,170,182,230,216,290,296,350,384,410
1120,224,84,342,210,23,245,20,40,1,4,66,7,7.0,2,38,71,70,140,170,180,230,213,290,292,350,380,410
1112,222,85,345,208,23,243,20,40,1,4,66,7,7.0,2,37,70,65,138,165,178,225,210,285,288,345,376,405
1104,221,86,348,206,23,241,20,40,1,4,66,7,7.0,2,37,69,65,136,165,176,225,207,285,284,345,372,405
1096,219,87,351,204,24,239,20,40,1,4,67,7,7.0,2,37,68,65,134,165,174,225,204,285,280,345,368,405
1088,218,88,354,202,24,237,20,40,1,4,67,7,8.0,2,37,67,65,132,165,172,225,201,285,276,345,364,405
1080,216,89,357,200,24,235,20,40,1,4,67,7,8.0,2,36,66,65,130,165,170,225,198,285,272,345,360,405
1072,214,90,360,198,24,233,20,40,1,4,68,7,8.0,2,36,65,65,128,165,168,225,195,285,268,345,356,405
1064,213,91,363,196,25,231,20,40,1,4,68,7,8.0,2,36,64,65,126,165,166,225,192,285,264,345,352,405
1056,211,92,366,194,25,229,20,40,1,4,68,7,8.0,2,36,63,65,124,165,164,225,189,285,260,345,348,405
1050,210,93,369,192,25,227,20,40,1,4,69,7,8.0,2,35,62,65,122,165,162,225,186,285,256,345,344,405
1042,208,94,372,190,25,225,20,40,1,4,69,7,8.0,2,35,61,65,120,165,160,225,183,285,252,345,340,405
1034,207,95,375,188,26,223,20,40,1,4,69,8,9.0,3,35,60,65,118,165,158,225,180,285,248,345,336,405
1026,205,96,378,186,26,221,20,40,1,4,70,8,9.0,3,35,59,65,116,165,156,225,177,285,244,345,332,405
1018,204,97,381,184,26,219,20,35,1,5,70,8,9.0,3,34,58,60,114,160,154,220,174,280,240,340,328,400
1010,202,98,384,182,26,217,20,35,1,5,70,8,9.0,3,34,57,60,112,160,152,220,171,280,236,340,324,400
1002,199,99,387,180,27,215,20,35,1,5,71,8,9.0,3,34,56,60,110,160,150,220,168,280,232,340,320,400
994,199,100,390,178,27,213,20,35,1,5,71,8,10.0,3,34,55,60,108,160,148,220,165,280,228,340,316,400
986,197,101,393,176,27,211,20,35,1,5,71,8,10.0,3,33,54,60,106,160,146,220,162,280,224,340,312,400
978,196,102,396,174,27,209,20,35,1,5,72,8,10.0,3,33,53,60,104,160,144,220,159,280,220,340,308,400
970,194,103,399,172,28,207,20,35,1,5,72,8,10.0,3,33,52,60,102,160,142,220,156,280,216,340,304,400
962,192,104,402,170,28,205,20,35,1,5,72,8,10.0,3,33,51,60,100,160,140,220,153,280,212,340,300,400
954,191,105,405,168,28,203,20,35,1,5,73,8,10.0,3,32,50,60,98,160,138,220,150,280,208,340,296,400
946,189,106,408,166,28,201,20,35,1,5,73,8,10.0,3,32,49,60,96,160,136,220,147,280,204,340,292,400
938,188,107,411,164,29,199,20,35,1,5,73,8,11.0,3,32,48,60,94,160,134,220,144,280,200,340,288,400
930,186,108,414,162,29,197,20,35,1,5,74,8,11.0,3,32,47,60,92,160,132,220,141,280,196,340,284,400
922,184,109,417,160,29,195,20,35,1,5,74,9,11.0,3,31,46,60,90,160,130,220,138,280,192,340,280,400
914,183,110,420,158,29,193,20,35,1,5,74,9,11.0,3,31,45,60,88,160,128,220,135,280,188,340,276,400
906,181,111,423,156,30,191,20,35,1,5,75,9,11.0,3,31,44,60,86,160,126,220,132,280,184,340,272,400
900,180,112,426,154,30,189,20,35,1,5,75,9,12.0,3,31,43,60,84,160,124,220,129,280,180,340,268,400
892,178,114,432,152,30,187,18,30,1,6,76,9,12.0,3,30,42,55,83,150,122,210,127,270,177,330,265,390
884,177,116,438,150,30,185,18,30,1,6,76,9,12.0,3,30,41,55,81,150,120,210,125,270,174,330,262,390
876,175,118,444,148,31,183,18,30,1,6,77,9,12.0,3,30,40,55,79,150,118,210,123,270,171,330,259,390
868,174,120,450,146,31,181,18,30,1,6,77,10,12.0,3,29,39,55,77,150,116,210,121,270,168,330,256,390
860,172,122,456,144,31,179,18,30,1,6,78,10,12.0,3,29,38,55,75,150,114,210,119,270,165,330,253,390
852,170,124,462,142,31,177,18,30,1,6,78,10,12.0,3,29,37,55,73,150,112,210,117,270,162,330,250,390
844,169,126,468,140,32,175,18,30,1,6,79,10,12.0,3,29,36,55,71,150,110,210,115,270,159,330,247,390
836,167,128,474,138,32,173,18,30,1,6,79,10,12.0,3,28,35,55,69,150,108,210,113,270,156,330,244,390
828,166,130,480,136,32,171,18,30,1,6,80,10,12.0,3,28,34,55,67,150,106,210,111,270,153,330,241,390
820,164,132,486,134,32,169,18,30,1,6,80,11,12.0,3,28,33,55,65,150,104,210,109,270,150,330,238,390
812,162,134,492,132,33,167,18,30,1,6,81,11,12.0,3,28,32,50,63,145,102,205,107,265,147,325,235,385
804,161,136,498,130,33,165,18,30,1,6,81,11,12.0,3,27,31,50,61,145,100,205,105,265,144,325,232,385
796,159,138,504,128,33,163,18,30,1,6,82,11,12.0,3,27,30,50,59,145,98,205,103,265,141,325,229,385
788,158,140,510,126,33,161,18,30,1,6,82,11,12.0,3,27,29,50,57,145,96,205,101,265,138,325,226,385
780,156,142,516,124,34,159,18,30,1,6,83,11,12.0,3,27,28,50,55,145,94,205,99,265,135,325,223,385
772,154,144,522,122,34,157,18,30,1,6,83,12,12.0,3,26,27,50,53,145,92,205,97,265,132,325,220,385
764,153,146,528,120,34,155,18,30,1,6,84,12,12.0,3,26,26,50,51,145,90,205,95,265,129,325,217,385
758,152,148,534,118,34,153,18,30,1,6,84,12,12.0,3,26,25,50,49,145,88,205,93,265,126,325,214,385
750,150,150,540,116,35,151,18,30,1,6,85,12,12.0,3,26,24,50,47,145,86,205,91,265,123,325,211,385
