Target_Time_min_sec,Target_Time_sec,VDOT_est,Weekly_KM,Monthly_KM,Tempo_Run_Dist_km,Tempo_Run_Pace_sec_per_km,Long_Run_Dist_km,Long_Run_Pace_sec_per_km,Avg_200m_Rep_Time_sec,Rest_200m_Rep_sec,Avg_300m_Rep_Time_sec,Rest_300m_Rep_sec,Avg_400m_Interval_Time_sec,Rest_400m_Interval_sec,Avg_600m_Interval_Time_sec,Rest_600m_Interval_sec,Avg_150m_SI_Time_sec,Rest_150m_SI_sec,Avg_800m_Interval_Time_sec,Rest_800m_Interval_sec,Age_years,Gender,Competition_Level,VO2max_est,Training_Freq_per_week,Running_History_years,Strength_Freq_per_week,Resting_HR_bpm
2:36.00,156,46.1,38,152,3,315,9,395,37.2,150,57.3,210,79.6,90,121.7,120,27.9,150,168.5,170,32,Female,Competitive Amateur,43.8,4,2,1,61
2:38.00,158,45.3,37,148,3,321,9,402,37.7,150,58,210,80.6,90,123.2,120,28.2,150,170.6,170,33,Female,Competitive Amateur,43,4,2,1,61
2:40.00,160,44.6,36,144,3,326,8,409,38.1,150,58.8,210,81.6,90,124.8,120,28.6,150,172.8,175,34,Female,Recreational,42.4,3,2,1,62
2:42.00,162,43.9,35,140,3,332,8,416,38.6,120,59.5,210,82.6,90,126.4,120,29,120,175,175,35,Female,Recreational,41.7,3,2,1,62
2:44.00,164,43.2,34,136,3,338,8,423,39.1,120,60.3,210,83.6,90,127.9,120,29.3,120,177.1,180,36,Female,Recreational,41,3,2,1,63
2:46.00,166,42.5,33,132,3,343,8,431,39.6,120,61,210,84.7,90,129.5,120,29.7,120,179.3,180,37,Female,Recreational,40.4,3,1,1,63
2:48.00,168,41.9,32,128,3,349,8,438,40.1,120,61.8,210,85.7,90,131,120,30,120,181.4,180,38,Female,Recreational,39.8,3,1,1,64
2:50.00,170,41.3,31,124,3,355,7,445,40.5,120,62.5,210,86.7,90,132.6,120,30.4,120,183.6,185,39,Female,Recreational,39.2,3,1,1,64
2:52.00,172,40.7,30,120,3,361,7,453,41,120,63.3,180,87.7,90,134.2,120,30.8,120,185.8,185,40,Male,Recreational,38.7,3,1,1,65
2:54.00,174,40.1,29,116,3,367,7,460,41.5,120,64,180,88.7,90,135.7,120,31.1,120,187.9,190,41,Male,Recreational,38.1,3,1,1,65
2:56.00,176,39.5,29,116,3,373,7,468,42,120,64.8,180,89.8,90,137.3,120,31.5,120,190.1,190,42,Male,Recreational,37.5,3,1,1,66
2:58.00,178,39,28,112,3,379,7,475,42.5,120,65.5,180,90.8,90,138.8,120,31.8,120,192.2,190,43,Male,Recreational,37.1,3,1,0,66
3:00.00,180,38.4,28,112,3,385,6,483,42.9,120,66.3,180,91.8,90,140.4,120,32.2,120,194.4,195,44,Male,Recreational,36.5,3,1,0,67
3:02.00,182,37.9,27,108,3,391,6,490,43.4,120,67,180,92.8,90,142,120,32.6,120,196.6,195,45,Female,Recreational,36,3,1,0,67
3:04.00,184,37.4,27,108,3,397,6,498,43.9,120,67.8,180,93.8,90,143.5,120,32.9,120,198.7,200,46,Female,Recreational,35.5,3,1,0,68
3:06.00,186,36.9,26,104,3,403,6,506,44.4,120,68.5,180,94.9,90,145.1,120,33.3,120,200.9,200,47,Female,Recreational,35.1,3,1,0,68
3:08.00,188,36.4,26,104,3,410,6,514,44.9,120,69.3,180,95.9,90,146.6,120,33.6,120,203,200,48,Female,Recreational,34.6,3,1,0,69
3:10.00,190,35.9,25,100,3,416,6,522,45.3,120,70,180,96.9,90,148.2,120,34,120,205.2,205,49,Female,Recreational,34.1,3,1,0,69
3:12.00,192,35.5,25,100,3,422,6,530,45.8,120,70.8,180,97.9,90,149.8,120,34.4,120,207.4,205,45,Male,Recreational,33.7,2,1,0,70
3:14.00,194,35,24,96,3,429,5,538,46.3,120,71.5,180,99,90,151.3,120,34.7,120,209.5,210,46,Male,Recreational,33.3,2,1,0,70
3:16.00,196,34.6,24,96,3,435,5,546,46.8,120,72.3,180,100,90,152.9,120,35.1,120,211.7,210,47,Male,Recreational,32.9,2,1,0,71
3:18.00,198,34.2,23,92,3,442,5,554,47.3,120,73,180,101,90,154.4,120,35.4,120,213.8,210,48,Male,Recreational,32.5,2,1,0,71
3:20.00,200,33.8,23,92,3,448,5,562,47.7,120,73.8,180,102,90,156,120,35.8,120,216,215,49,Male,Recreational,32.1,2,1,0,72
3:22.00,202,33.4,22,88,3,455,5,571,48.2,120,74.5,180,103,90,157.6,120,36.2,120,218.2,215,50,Female,Recreational,31.7,2,1,0,72
3:24.00,204,33,22,88,3,462,5,579,48.7,120,75.3,180,104,90,159.1,120,36.5,120,220.3,220,51,Female,Recreational,31.4,2,1,0,73
3:26.00,206,32.6,21,84,3,468,5,587,49.2,120,76,180,105.1,90,160.7,120,36.9,120,222.5,220,52,Female,Recreational,31,2,1,0,73
3:28.00,208,32.2,21,84,3,475,5,596,49.7,120,76.8,180,106.1,90,162.2,120,37.2,120,224.6,225,53,Female,Recreational,30.6,2,1,0,74
3:30.00,210,31.9,20,80,3,482,5,605,50.1,120,77.5,180,107.1,90,163.8,120,37.6,120,226.8,225,54,Female,Recreational,30.3,2,1,0,74
3:32.00,212,31.5,20,80,3,489,5,613,50.6,120,78.3,180,108.1,90,165.4,120,38,120,229,230,50,Male,Recreational,29.9,2,1,0,75
3:34.00,214,31.2,20,80,3,496,5,622,51.1,120,79,180,109.1,90,166.9,120,38.3,120,231.1,230,51,Male,Recreational,29.6,2,1,0,75
3:36.00,216,30.8,19,76,3,503,5,631,51.6,120,79.8,180,110.2,90,168.5,120,38.7,120,233.3,235,52,Male,Recreational,29.3,2,1,0,75
3:38.00,218,30.5,19,76,3,510,5,640,52.1,120,80.5,180,111.2,90,170,120,39,120,235.4,235,53,Male,Recreational,29,2,1,0,76
3:40.00,220,30.2,18,72,3,517,5,649,52.5,120,81.3,180,112.2,90,171.6,120,39.4,120,237.6,240,54,Male,Recreational,28.7,2,1,0,76
3:42.00,222,29.8,18,72,3,524,5,658,53,120,82,180,113.2,90,173.2,120,39.8,120,239.8,240,55,Female,Recreational,28.3,2,1,0,77
3:44.00,224,29.5,18,72,3,532,5,667,53.5,120,82.8,180,114.2,90,174.7,120,40.1,120,241.9,240,56,Female,Recreational,28,2,1,0,77
3:46.00,226,29.2,17,68,3,539,5,676,54,120,83.5,180,115.3,90,176.3,120,40.5,120,244.1,245,57,Female,Recreational,27.7,2,1,0,78
3:48.00,228,28.9,17,68,3,547,5,685,54.5,120,84.3,180,116.3,90,177.8,120,40.8,120,246.2,245,58,Female,Recreational,27.5,2,1,0,78
3:50.00,230,28.6,16,64,3,554,5,695,54.9,120,85,180,117.3,90,179.4,120,41.2,120,248.4,250,59,Female,Recreational,27.2,2,1,0,79
3:52.00,232,28.3,16,64,3,562,5,705,55.4,120,85.8,180,118.3,90,181,120,41.6,120,250.6,250,55,Male,Recreational,26.9,2,1,0,79
3:54.00,234,28,16,64,3,570,5,715,55.9,120,86.5,180,119.3,90,182.5,120,41.9,120,252.7,255,56,Male,Recreational,26.6,2,1,0,80
3:56.00,236,27.7,15,60,3,578,5,725,56.4,120,87.3,180,120.4,90,184.1,120,42.3,120,254.9,255,57,Male,Recreational,26.3,2,1,0,80
3:58.00,238,27.4,15,60,3,586,5,735,56.9,120,88,180,121.4,90,185.6,120,42.6,120,257,260,58,Male,Recreational,26,2,1,0,81
4:00.00,240,27.1,15,60,3,594,5,745,57.4,120,88.8,180,122.4,90,187.2,120,43,120,259.2,260,59,Male,Recreational,25.7,2,1,0,81
